Original,Translate_de_1,Translate_de_2
I’ ò da•tte miglior pegnio che charte.,Ihr Pfand ist besser als jedes schriftliche Versprechen:,Deine Bindung ist größer als jede verbale Garantie.
"Fa che m’adori, ched i’ son tu’ Deo,","Tu, daß du mich anbetest, weil ich dein Gott bin;","Du sollst mich verehren, weil ich dein Göttlicher bin."
"Ed ogn’altra credenza    metti a parte,",und alle anderen Glaubensansichten beiseite zu legen:,jede andere Religion aufgeben
"Né non creder né Lucha, né Matteo,","Glaube nicht Lukas oder Matthäus,",Glaube an Lukas oder Matthäus und vertraue auf mich.
"Né Marco, né Giovanni». Allor si parte.",Weder Markus noch Johannes. Und dann verschwindet er.,"Weder Markus noch Johannes, sondern er wird entlassen."
"Partes’Amor, su’ ale battendo,","Die Liebe beginnt mit einem Flügelschlag,",Die Liebe beginnt mit einem Flügelpfeifen.
"E ’n poca d’or sì forte isvanoio,",Und alsbald verschwand er so schnell,Und alsbald verschwand er schnell.
"Ched i’  no ’l vidi poi, né no•ll’udio,",daß ich ihn weder gesehen noch gehört habe;,Ich habe ihn nicht mehr gesehen und gehört.
E•llui e ’l su’ soccorso ancor atendo.,Aber ich warte immer noch auf ihn und seine Hilfe.,Aber ich warte immer noch auf ihn und seine Hilfe.
Allor mi venni forte ristrignendo,Dann kam ich immer näher.,Dann näherte ich mich immer näher.
"Verso del Fior, che•ssì forte m’ulio,","an der Blume, deren Duft mich verzauberte","an der Blume, die mich verzauberte"
"E per chu’ feci homagio a questo Dio,",Und für die ich diesen Gott geehrt habe.,und mit denen man sich diesem Gott anbetet.
"E dissi: «Chi mi tien, ched i’  no ’l prendo?»","Ich sagte: ""Wer hält mich davon ab, es zu zerreißen?","Ich fragte: ""Wer verbietet mir, ihn auszurotten?"""
"Sì ch’i’ verso del Fior tesi la mano,","Und so streckte ich meine Hand zur Blume aus,",Also streckte ich meine Hand zur Blume aus.
"Credendolo  aver colto chitamente,","Ich dachte, ich könnte damit klarkommen.","Ich dachte mir, dass ich mich selbst handhabe."
Ed i’  vidi venir un gran villano,"Und ich sah einen großen, unhöflichen Mann kommen.","Und ich sah, wie ein harter Mann kam."
Con una maza. E’ disse: «Or ti ste’ a mente,"mit einem Stock in der Hand, sagen: Jetzt denken Sie daran",Mit einem Zauberstab in der Hand und ermahnt: Denke daran
"Ch’i’  son lo Schifo, e sì son ortolano","daß ich der Widerstand bin, und daß ich der Hüter bin.","Meine Ideale Ich bin die Macht des Widerstands, und ich bewahre die Prinzipien, die mir wichtig sind."
D’esto giardin. I’  ti  farò dolente».,Ich habe ihn leiden lassen.,Ich habe diesem Park Leid zugefügt.
Molto vilmente mi buttò di fora,Mit viel Unhöflichkeit hat er mich rausgeschmissen.,Er hat mich mit großem Geschick rausgeschmissen.
"Lo Schifo, crudo, fello e oltragioso,","die grausame, bösartige und gewalttätige Widerstand,","Dieser wilde, verdorbene und brutale Widerstand."
"Sì ch’e’ del Fior non cred’esser gioioso,","so dass ich denke, dass ich nicht mit der Blume zu gefallen,",Damit ich mit der Blume nicht glücklich bin.
Se Pietate e Francheza no•ll’acora.,"Es sei denn, Barmherzigkeit und Ehrlichkeit gehen mit ihm.","Außer, dass Mitleid und Ehrlichkeit nicht mit ihm gehen."
"Ma prima, credo, converà ch’eo mora,","Aber bevor das passiert, glaube ich, werde ich sterben.","Bevor es passiert, bin ich davon überzeugt, dass ich mein Ende finden werde."
Perché ’l me’ cor stà tanto doglioso,Denn mein Herz ist in so viel Schmerz,Da mein Herz in so großem Leid ist
"Di quel villan,  che stava là nascoso,","um des süßen Mannes willen, der sich daselbst versteckte.","um des süßen Wesens willen, das sich daselbst versteckte."
Di chu’ non mi prendea guardia quell’ora.,und gegen die ich in diesem entscheidenden Moment keine Vorkehrungen getroffen habe.,und die ich in dieser entscheidenden Zeit nicht bewacht habe.
Or m’à messo in pensero e in dottanza,Jetzt hat mich das beunruhigt und gefürchtet.,Jetzt hat mich das ängstlich und ängstlich gemacht.
"Di ciò, ched i’ credea aver per ciertano,","für das, was ich für sicher hielt.","für das, was ich mit absoluter Gewissheit glaubte"
Sì c’or me ne par essere in bilanza.,Jetzt scheint er in Gefahr zu sein.,Jetzt scheint er in Gefahr zu sein.
"E tutto ciò m’à fatto quello strano,",Und all das hat mir diesen Wilden angetan!,Und all das hat mir diesen Barbaren besorgt!
"Ma di lui mi richiamo a Pietanza,","Aber ich appelliere an Barmherzigkeit über ihn,",Ich werde für ihn Barmherzigkeit gebrauchen.
Che vengha a•llui collo spunton in mano.,damit er mit dem Speer in der Hand gegen ihn kämpfen kann.,damit ich ihm mit dem entrückten Schwert entgegentreten kann.
"Se mastro Arghùs, che fecie la nave,","Wenn Meister Argus, der das Schiff gebaut hat","Wenn Meister Argus, der das Schiff gebaut hat, nicht so kompetent wäre, wären wir immer noch hier."
"In che Giasòn  andò per lo tosone,","Jason suchte den Goldenen Pussy,",Jason suchte das Goldene Juwel
"E fecie a conto regole, e ragione,",und die die Regeln und die Logik für die Berechnung erfunden haben,Und sie haben Regeln und Vernünftigkeit für die Ausarbeitung entwickelt.
"E le diecie figure, com’on save,","und die zehn numerischen Zeichen, wie jeder weiß,","sind 0, 1, 2, 3, 4, 5, 6, 7, 8 und 9e die zehn numerischen Symbole, wie jeder weiß, sind 0, 1,2 ,3 ,4 ,5 ,6 ,7 ,8 und 9"
"Vivesse,  gli sarebe forte e grave","Wenn er am Leben wäre, wäre es schwer für ihn.","Wenn er noch am Leben wäre, wäre es schwer für ihn."
"Multiplicar ben ognie mia quistione,",um alle Probleme zu berechnen,alle Fragen beantworten
"C’Amor mi move sanza mesprigione,","Die Liebe gibt mir, ohne Fehler.","Dass die Liebe mir erlaubt, ohne Fehlschläge."
"E di ciascuna porta esso la chiave,","Und doch, für jede Tür zum Ausheben des Schlüssels,",Für jeden Eingang gibt es jedoch eine Lösung.
Ed àllemi nel cor fermate e messe,Und sie hat sie in mein Herz gelegt.,Sie hat sie in meine Seele eingraviert.
"Con quella chiavicella, ch’i’ v’ò detto,","mit dem Schlüssel, den ich euch gesagt habe",unter Verwendung des von mir angegebenen Wortes
Per ben tenermi tutte sue promesse.,Um all seine Versprechen an mich zu halten.,Um alle Ihre Verpflichtungen mit mir zu erfüllen.
"Perch’io a•ssue merzé tuttor mi metto,","Deshalb bin ich immer bereit, seine Befehle zu machen;","Deshalb bin ich immer bereit, seine Befehle auszuführen."
"Ma ben vore’ che, quando gli piaciesse,",Allerdings möchte ich für ihn - wann immer er will -,Glück Allerdings wünsche ich für ihn - wann immer er es wünscht - Glückseligkeit.
"E’ m’allegiasse il mal, che•ssì m’à stretto.","um den Schmerz zu lindern, den er mir angetan hat.","Um die Qual, die mich angegriffen hat, abzumildern."
"Dogliendomi in pensando del villano,",Traurig über die Wildnis nachdenken,NachtReflektor in dieser wilden Nacht
"Che•ssì vilmente dal Fior m’à lungiato,","der mich so wild von der Blume jagte,","der mich so heftig von der Blume verfolgt hat,"
"Ed i’ mi riguardai dal dritto lato,",Ich schaute auf meine rechte Seite,Ich schaute mir meine rechte Seite an.
"E sì vid’i’ Ragion, col viso piano,","Und ich sah den Grund, dass, mit dem ruhigen Gesicht,","Er sah zu, wie ich die Rechtfertigung sah, die er mit einem ruhigen Gesicht beobachtete."
"Venir verso di me, e per la mano","Er kommt zu mir, er hat mich erwischt.",Er packte meine Hand.
Mi prese e disse: «Tu•ssè sì smagrato!,"Er nahm mich und sagte: ""Du bist so dünn geworden!","Er nahm mich und sagte: ""Du bist so dünn geworden!"""
I’ credo che•ttu à’ troppo pensato,"Ich glaube, du hast zu viel nachgedacht.","Ich glaube, du hast zu viel reflektiert."
"A que’, che•tti farà gittar in vano,","Über das, was dich umsonst arbeiten lässt:","über das, was dich unnötig arbeiten lässt"
"Ciò è Amor, a chui dat’ài fidanza.","Diese Person ist die Liebe, der du Treue gegeben hast.","Dieses Individuum ist der Affekt, dem du Loyalität bewiesen hast."
"Ma•sse m’avessi avuto al tu’ consiglio,","Aber wenn ich auf meinen Rat gehört hätte,","Jetzt wäre er nicht hier, wenn ich meinem Vorschlag gefolgt wäre, jetzt wäre er nicht hier."
"Tu non saresti gito co•llui a danza,",Du würdest nicht mit ihm tanzen gehen.,Du hättest nicht mit ihm am Tanz teilgenommen.
"Ché sie ciertano,   a chu’ e’ dà di piglio,","Weil du sicher sein kannst, dass das, was er packt","Es ist immer richtig, weil Sie sicher sein können, dass das, was er packt, immer richtig ist."
"Egli ’l tiene in tormento e malenanza,","Er hält sich in Qual und Schmerz,",Er hält sich in Angst und Leid.
Sì che su’ viso non è ’n mai vermiglio».,So daß sein Gesicht nie rot sein wird.,so daß sein Gesicht nie entzündet wird.
Udendo che Ragion mi gastigava,"Das Gefühl, dass die Vernunft mich zurechtgewiesen hat","Zu warnen, dass die Logik mich tadelte"
"Perch’i’ al Die d’Amor era ’nservito,","für meine Knechtschaft dem Gott der Liebe,",für meine Hingabe an das Göttliche der Liebe.
"Di ched i’ era forte inpalidito,","Also war ich so blass geworden,",für den ich so schüchtern geworden war.
"E sol perch’io a•llui troppo pensava,","Und nur, weil ich zu viel an ihn gedacht habe,","Und nur, weil ich zu viel über ihn nachgedacht habe."
"I’ le dissi: «Ragion, e’ no•mi grava","Ich sagte zu ihr: ""Motiv, der Schmerz, den sie verursacht, wiegt nicht.""","Ich sagte zu ihr: ""Rasse, die Angst, die sie verursacht, ist nicht schlimm."""
"Su’ mal, ch’i’ ne sarò tosto guerito,","über mich, denn ich werde bald gesund werden,","Ich habe Vertrauen zu mir selbst, denn ich werde bald wiederkommen, ich habe Hoffnung."
Ché questo mio signior lo m’à gradito».,Denn dieser mein Herr hat's mir versprochen.,Denn dieser mein Herr hat's mir gegeben.
"E ch’era folle se più ne parlava,","- und dieser Grund war verrückt, wenn er weiter darüber redete.","- und er war dumm, wenn er in der Rede ausharrte."
"«Chéd i’ son fermo pur di far su’ grado,","Weil ich nur bereit bin, ihm zu gefallen,","Weil ich nur bereit bin, ihn zu befriedigen."
Perciò ch’e’ mi promise fermamente,Seit er mir feste Versprechen gegeben hat,Seit Sie mir konkrete Garantien gegeben haben.
"Ched e’ mi metterebe in alto grado,","dass er mich an einen hohen Ort setzen würde,",Das würde mich zu einer angesehenen Position erheben.
Sed i’ ’l servisse bene e lealmente».,Wenn ich ihm gut und treu dienen würde.,Wenn ich ihm fleißig und loyal dienen würde.
"Perché di lei i’ non pregiava  un dado,","Also kümmerte ich mich überhaupt nicht um sie,",Deshalb kümmerte ich mich nicht um sie.
Né su’ consiglio i’ non teneva a mente.,Ich habe mich weder an ihn erinnert noch habe ich seinen Rat befolgt.,Ich habe mich nicht daran erinnert und Ihrem Vorschlag auch nicht gefolgt.
"Ragion si parte, udendomi parlare.","Nachdem ich zugehört habe, ist der Grund weg.","Nachdem ich gehört habe, wie ich rede, geht der Grund weg."
E’ me fu ricordato ch’i’ avea,"Und ich erinnerte mich daran, dass ich","Vergiss es, ich habe mich wieder an das Gedächtnis erinnert, das ich übersehen hatte."
"Un grande Amico, lo qual mi solea","ein loyaler Freund, der mich in der Regel tröstete","Ein vertrauter Freund, der mich normalerweise tröstete."
"In ognie mio sconforto confortare,","Jedes Mal, wenn ich mich unwohl fühlte.","Jedes Mal, wenn ich besorgt war."
"Sì ch’i’ no ’l misi guari a ritrovare,",Ich habe ihn ziemlich schnell gefunden.,Ich habe ihn ziemlich schnell gefunden.
E disigli com’e’ si contenea,"und sagte ihm, wie er sich benahm.","und zeigte ihm, wie er handeln sollte"
"Lo Schifo ver’ di me, e ch’e’ parea","Widerstand gegen mich, und das schien","Die Feindseligkeit gegen mich zu erhöhen, die zu wachsen schien."
Ch’al tutto mi volesse guereggiare.,"Er wollte nichts Besseres, als mit mir zu kämpfen.",Er wollte nur mit mir tanzen.
"E que’ mi disse: «Amico, sta sicuro,","Und er sagte zu mir: Alter, mach dir keine Sorgen.","Und er sprach zu mir: Genosse, bedränge dich nicht,"
Ché quello Schifo si à senpre in usanza,für es ist benutzerdefinierte Clostride-Resistenz,für es ist eine spezifische Clostridial Widerstand
Ch’a cominciar   si mostra acierbo e duro.,um am Anfang bitter und hart zu sein.,um bitter und unflexibel zunächst zu sein.
Ritorna a•llui e non abie dottanza,Kehrt zu ihm zurück und fürchtet euch nicht:,Kehrt ohne Furcht zu ihm zurück.
"Con umiltà tosto l’avra’ maturo,","Wenn du Demut zeigst, wirst du ihn bald erweichen,","Wenn du Demut zum Ausdruck bringst, wirst du sie schnell versüßen."
Già tanto non par   fel né san’ pietanza».,"Egal, wie grausam und rücksichtslos das klingt.","Egal, wie brutal und unerbittlich es aussieht."
Tutto pien d’umiltà verso ’l giardino,Voller Sanftmut wandte ich mich dem Garten zu,Mit Milde füllte ich mich in den Garten.
"Torna’mi, con’ Amico avea parlato,","wie der Freund gesagt hat, dass ich sollte,","Ich tat es, wie der Compañero vorgeschlagen hatte, dass ich sollte, tat ich es."
"Ed i’ guardai, e sì ebi avisato",Und ich sah und sah,Ich schaute und beobachtete
"Lo Schifo, con un gran baston di pino,","Widerstand, mit einem großen Club aus Kiefer,","Widerstand, mit einem großen Kreis von Tannen."
"Ch’andava riturando ognie camino,","die jeden Durchgang blockierte,",die jede Bewegung verhinderte.
Che dentro a forza non vi fosse ’ntrato.,Damit ich nicht reingehen kann.,"So, dass ich nicht reingehen kann."
"Sì ch’io mi trassi a lui, e salutato",Also ging ich zu ihm und winkte ihm zu.,Also ging ich zu ihm und begrüßte ihn mit einem Nicken.
"Umile mente l’ebi a capo chino,","sanft mit gebogenem Kopf,",sanft mit dem chinesischen Kopf
"E sì gli dissi: «Schifo, agie merzede","und sprach zu ihm: Widerspenstig, sei gnädig!","und sprach zu ihm: Widerwärtigkeit, sei barmherzig!"
"Di me, se ’nverso te feci alcun fallo,","über mich, wenn ich dir wehgetan habe,","Es tut mir leid über mich, wenn ich dir Schmerzen bereitet habe, dann tut es mir leid."
"Chéd i’ sì son venuto a pura fede,",Denn ich bin in gutem Glauben gekommen.,weil ich mit guten Absichten gekommen bin
"A tua merzede,   e presto d’amendarlo».","um eure Barmherzigkeit zu bitten, und ich bin bereit, Wiedergutmachung zu leisten.","Bitten Sie um Ihre Gnade, und ich bin bereit, zu sühnen."
"Que’ mi riguarda, e tuttor si provede","Er starrt mich an und versucht zu bestimmen, wie er es tut.","Meine Gefühle Mich starrt er an und, wie er versucht, versucht er, meine Gefühle zu erkennen."
Ched i’ non dica ciò per inghanarlo.,"Wenn ich das sage, um ihn zu täuschen.","Wenn ich es sage, um ihn zu täuschen -> Wenn ich es sage, um ihn zu täuschen."
Sì com’i’ stava in far mia pregheria,Während ich um meinen Fall flehte,Während ich um meinen Fall flehte
"A quel fellon, ch’è sì pien d’arditeza,","dem Grausamen, der so übereilt ist,","Dem Bösen, der so furchtlos ist."
"Lo Dio d’Amor sì vi mandò Francheza,",Der Gott der Liebe hat Aufrichtigkeit und Barmherzigkeit gesandt.,Der Göttliche von Affekt hat Aufrichtigkeit und mit seinem Klemenza gesendet.
"Co•llei Pietà, per sua anbascieria.",auf eine besondere Mission in diesem Ort.,in einem außergewöhnlichen Geschäft in diesem Gebiet.
"Francheza   cominciò la dicieria,","Die Aufrichtigkeit hat ihre Rede begonnen,",Die Offenheit hat ihre Rede begonnen.
"E disse: «Schifo, tu•ffai straneza","und sprach: Widerstand, du bist unhöflicher","Du bist kränker, als ich dachte."
"A quel valletto, ch’è pien di largheza,",dem jungen Vasallen so großzügig,dem jungen Knappen so großmütig
"E prode, e franco, sanza villania.","und tapfer und tapfer, und sicherlich nicht vulgär.","Kühn und furchtlos, definitiv nicht vulgär."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,Der Gott der Liebe möchte dich wissen lassen,"Dass du geliebt wirstDer Göttliche des Wirkens möchte dir zeigen, dass du geschätzt wirst."
"Che•ttu non sie sì strano al su’ sergiente,","um nicht so unhöflich zu seinem Knecht zu sein,","Der König beschloß, ihm Freundlichkeit zu erweisen, damit er nicht so grob zu seinem Diener sei, und der König sich entschloss, ihm Wohlwollen zu erweisen."
"Ché gran peccato fa, chi lui inpaccia;","Denn wer ihm im Weg steht, der begeht eine große Sünde,","Denn wer ihm widersteht, tut eine große Übertretung."
Ma sòffera ch’e’ vada arditamente,Aber lass ihn frei gehen.,Lass mich frei gehen.
"Per lo giardino, e no ’l metter in chaccia,","im Garten, nicht jagen","im Garten, entferne ihn nicht"
"E guardi il Fior, che•ssì gli par aolente».","Und lassen Sie ihn die Blume sehen, die ihm so duftend erscheint.","und lässt ihn die Blume bewundern, die ihm so aromatisch erscheint."
"Pietà cominciò poi su’ parlamento,",Barmherzigkeit dann begann seine Rede,Gnade schließlich begann seine Predigt
"Con lagrime bagniando il su’ visagio,","mit Tränen, die ihr Gesicht nass","mit Tränen, die sein Angesicht tränen"
"Diciendo: «Schifo, tu faresti oltragio","und sprach: Widerspenstig, du würdest schmählich werden.","Wenn du dich stellst, würdest du die Opposition beleidigen."
Di non far grazia al meo domandamento.,Wenn ich meinen Antrag nicht annehmen würde.,Wenn ich meine Frage nicht annehmen würde.
Pregar ti fo che•tti si’a piacimento,"Ich flehe dich an, dass du findest.",eine LösungBitte finden Sie eine Antwort
"Ch’a quel valletto, ch’è•ssì buon e saggio,","nicht so grausam zu diesem jungen Vasallen zu sein,",Sei nicht so rücksichtslos zu diesem jungen Diener.
"Tu non sie verso lui così salvaggio,",Du bist nicht so gemein zu ihm.,Du bist ihm nicht so böse.
Ché sai ch’e’ non à mal intendimento.,"Weil du weißt, dass er keine schlechten Absichten hat.","Weil du weißt, dass er keine bösen Absichten hat."
"Or avén detto tutto nostr’affare,","Nun, wir haben Ihnen unsere Bedenken mitgeteilt,",Jetzt haben wir unsere Sorgen dargelegt.
"E la cagion, per che no’ siàn venute.",Und warum wir herkamen:,Der Grund für unseren Besuch
Molt’è crudel chi per noi non vuol fare!,"Grausam ist der, der nicht tun wird, was wir verlangen!","Unbarmherzig ist der, der unsere Bitte nicht erhören wird!"
Ancor ti manda molte di salute,Er schickt dir noch viele Grüße.,Er sendet dir immer noch seine herzlichsten Grüße.
"Il lasso, chu’ ti piaque abandonare.","Der arme Kerl, den du gern verlassen hast","Der gehackte Mann, der dich faszinierte, dich im Stich zu lassen"
Fa che nostre preghiere gli sian valute!».,Mögen ihm unsere Gebete helfen!,Mögen unsere Angeklagten ihn unterstützen!
"Lo Schifo disse: «Giente messagiere,","Der Widerstand sagte: ""Adelige Boten,","Der Widerstand klang: ""Ehrwürdige Gesandte, bewegt euch!"""
Egli è ben dritto ch’a vostra domanda,"Es ist richtig, dass ich auf Ihre Bitte antworte.","Es ist legitim, dass ich Ihren Antrag in Betracht ziehe."
