Original,Translate_en_1,Translate_en_2
"Allor que’ prese il cor e disse: «Amico,","Then he took my heart and said, ""Friend,","You don't need me anymore.""Then he took my heart and declared, ""Comrade, you don't need my support anymore."""
I’ son segnior assa’ forte a servire;,I'm a very demanding gentleman to serve.,I'm a very demanding gentleman to please.
"Ma chi mi serve, per cierto ti dico,","But verily I say unto you, He that serveth me,",is bigger than meme actually I tell you that who assists me is more important than me
"Ch’ala mia grazia non può già fallire,","He will never fail to win my favor,",You'll never lose my enthusiasm.
"E di buona speranza i’ ’l mi notrico,",and I will nourish him with good hope,and feed him with optimistic hope
Infin ch’i’ gli fornischa su’ disire».,Until I've fulfilled your wish.,until I have fulfilled his will.
Con una chiave d’oro mi fermò il core,"With a gold key, love has closed my heart,","With a precious key, affection sealed my heart."
"L’Amor,    quando così m’ebe parlato,","Love, after talking to me,","He looked at meLove, after exposing his opinion to me, stared at me."
"Ma prima mente l’à nett’e parato,",but first of all he has purified and prepared,but first of all he has cleansed and made ready
Sì c’ogni’altro pensier n’à pinto fore.,so that he would drive away every other thought.,so as to exclude any other idea.
"E’ po’ mi disse: «I’ sì son tu’ signiore,","Then he said to me, ""As I am your Lord,","You must obey me.""Then he said to me, ""Considering me as your Sovereign, you must submit to me."""
E tu sì sè di me fedel giurato.,And you're a loyal juror to me.,And you are a loyal witness to me
Or guarda che ’l tu’ cuor    non sia ’mpacciato,Now make sure your heart isn't busy.,Make sure your heart isn't busy
Se non di fino e di leal amore.,with anything but noble and true love.,with anything but dignified and sincere affection.
E pensa di portar in pacienza,And remember to be patient,Remember to be tolerant
"La pena, che per me avra’ a sofrire,","the pain you will suffer because of me,",the infliction that you will suffer on my responsibility
"Inanzi ch’io ti doni mia sentenza,",Before I give you my verdict.,Before I give you my sentence.
Ché molte volte ti parrà morire:,That many times you think you're gonna die:,That many moments you feel desire to move on to the other side.
"Un’ora gioia avrai, altra, doglienza.","One hour you'll be happy, another sad,","One hour you'll be happy, another wretched."
Ma po’ i’ dono argomento di guerire».,but then I give you a cure to heal,but then I give you a cure to restore
Con grande umilitate e pacienza,With much humility and patience,With great humility and perseverance
"Promisi a Amor a sofferir sua pena,",I promised Love that I would suffer her pain,I promised Love that I would share her torment
"E c’ognie membro, ch’i’ avea, e vena","and that every limb of mine, which I have,","and that every member of mine, whom I have and vague"
Disposat’era a farli sua voglienza;,They were ready to do his will.,they were prepared to fulfill his desire.
E solo a lui servire la mia credenza,And only he will need my belief,Only to him will my faithful homage be given.
"È ferma, né di ciò mai nonn-alena,",and will never cease to do so:,And he'll never stop doing that.
"Insin ched i’ avrò spirito o lena,",As long as I live and breathe,As long as I'm alive and breathing.
I’ non farò da•cciò giama’ partenza.,I will never stray from this promise.,I'll never get away from this commitment.
"E quelli allor mi disse: «Amico meo,","And they said unto me, My friend,","You came, and they said to me, ""My comrade, you have arrived."""
I’ ò da•tte miglior pegnio che charte.,Your pledge is better than any written promise:,Your bond is greater than any verbal warranty.
"Fa che m’adori, ched i’ son tu’ Deo,",Make you worship me because I am your god;,Let you worship me because I am your divine.
"Ed ogn’altra credenza    metti a parte,",and set aside every other faith:,abandoning all other religions
"Né non creder né Lucha, né Matteo,","do not believe Luke or Matthew,","trust me to have faith in Luke or Matthew, trust in me"
"Né Marco, né Giovanni». Allor si parte.","Not to Mark, not to John. And then he leaves.","Neither to Mark, nor to John, then depart."
"Partes’Amor, su’ ale battendo,","Love starts with a blink of wings,",Love begins with a throbbing of wings.
"E ’n poca d’or sì forte isvanoio,",and in an instant disappeared so quickly,and in an instant he vanished quickly
"Ched i’  no ’l vidi poi, né no•ll’udio,",that I have never seen or heard from him;,which I have not seen nor heard.
E•llui e ’l su’ soccorso ancor atendo.,And yet I'm still waiting for him and his assistance.,But I'm still waiting for him and his help.
Allor mi venni forte ristrignendo,Then I got closer and closer.,Then I got closer and closer.
"Verso del Fior, che•ssì forte m’ulio,",to the Flower whose scent bewitched me,to the Flower with the aroma that enchanted me
"E per chu’ feci homagio a questo Dio,",and for whom I paid homage to this god.,and with which to put oneself in adoration to this god.
"E dissi: «Chi mi tien, ched i’  no ’l prendo?»","I said, ""Who's stopping me from tearing it?""",I asked: Who forbids me from uprooting him?
"Sì ch’i’ verso del Fior tesi la mano,","And so I stretched out my hand toward the Flower,",So I stretched out my hand toward the Flower.
"Credendolo  aver colto chitamente,",I thought I could handle it freely.,I figured I'd handle myself autonomously.
Ed i’  vidi venir un gran villano,"And I saw a big, rude man come.","And I watched a heavy, rude man arrive."
Con una maza. E’ disse: «Or ti ste’ a mente,"with a stick in his hand, saying, ""Now keep in mind.""","With a wand in hand, exhorting: Remember it well"
"Ch’i’  son lo Schifo, e sì son ortolano","that I am the Resistance, and that I am the guardian","of my ideals I am the Opposition Force, and I guard the principles I care about."
D’esto giardin. I’  ti  farò dolente».,I made him suffer.,I've caused pain to this park.
Molto vilmente mi buttò di fora,"Very rudely, he threw me out.",With great rudelity he threw me away.
"Lo Schifo, crudo, fello e oltragioso,","the cruel, vicious and violent resistance,","The vicious, depraved, brutal resistance."
"Sì ch’e’ del Fior non cred’esser gioioso,","so that I think I won't be pleased with the Flower,",So that I don't think I'll be happy with the Flower.
Se Pietate e Francheza no•ll’acora.,Unless Mercy and Honestness leave with him.,Apart from the fact that Compassion and Honesty do not leave with him.
"Ma prima, credo, converà ch’eo mora,","But before that happens, I think I'm gonna die.","Before that happens, I'm convinced I'll meet my end."
Perché ’l me’ cor stà tanto doglioso,since my heart is in so much pain,Since my heart is in such great suffering
"Di quel villan,  che stava là nascoso,",because of that cheesy man who was hiding there,"because of that cheesy individual, who was hiding there"
Di chu’ non mi prendea guardia quell’ora.,and against which I took no precautions at that crucial moment.,and to whom I adopted no guard during that decisive period.
Or m’à messo in pensero e in dottanza,"Now this has made me worry and fear,",Now this has made me anxious and frightened.
"Di ciò, ched i’ credea aver per ciertano,",for what I thought I had for sure,for what I thought with absolute certainty
Sì c’or me ne par essere in bilanza.,Now it feels like he's at risk.,Now I think he's in danger.
"E tutto ciò m’à fatto quello strano,",And all this did to me that savage!,And all this got me that barbarian!
"Ma di lui mi richiamo a Pietanza,","But I will appeal to Mercy upon him,",I will resort to Compassionateness for him.
Che vengha a•llui collo spunton in mano.,so that he can face it with the spear in his hand.,so that he can face him with the drawn sword.
"Se mastro Arghùs, che fecie la nave,","If Master Argus, who built the ship","If Master Argus, who built the ship, weren't so competent, we'd still be here."
"In che Giasòn  andò per lo tosone,","that Jason was looking for the Golden Flea,",that Jason was looking for the Gold Jewel
"E fecie a conto regole, e ragione,",and who invented the rules and logic for calculation,And they have devised the rules and reasonableness for the elaboration.
"E le diecie figure, com’on save,","and the ten numerical signs, as everyone knows,","are 0, 1, 2, 3, 4, 5, 6, 7, 8 and 9and the ten numerical symbols as everyone knows are 0, 1, 2, 3 , 4 , 5 , 6 , 7 , 8 and 9"
"Vivesse,  gli sarebe forte e grave","If he was alive, it would be difficult for him.","If he was still alive, it would be hard for him."
"Multiplicar ben ognie mia quistione,",to calculate all problems,solve all questions
"C’Amor mi move sanza mesprigione,","Love gives me, without error.","Love grants me, without failure."
"E di ciascuna porta esso la chiave,","And yet, for every door outside the key,","However, for each input there is a solution."
Ed àllemi nel cor fermate e messe,And she put them in my heart,She engraved them in my soul.
"Con quella chiavicella, ch’i’ v’ò detto,",with that key I told you,using the word indicated by me
Per ben tenermi tutte sue promesse.,to keep all his promises to me.,to respect all his commitments with me.
"Perch’io a•ssue merzé tuttor mi metto,",That's why I'm always ready to do his bidding;,That's why I'm always ready to run his commands.
"Ma ben vore’ che, quando gli piaciesse,","However, I would like for him - whenever he wants -","HappinessHowever, I desire for him - whenever he desires it - bliss."
"E’ m’allegiasse il mal, che•ssì m’à stretto.",to relieve the pain that has taken me.,To mitigate the agony that attacked me.
"Dogliendomi in pensando del villano,",Sadly thinking about the wild one,nightReflecting reluctantly on that wild night
"Che•ssì vilmente dal Fior m’à lungiato,","who so savagely chased me from the Flower,","that so fiercely chased me from the Flower,"
"Ed i’ mi riguardai dal dritto lato,",I looked on my right side,I examined my right side
"E sì vid’i’ Ragion, col viso piano,","And I saw the reason, that, with a quiet face,","I saw the justification, which, with a serene face, he observed."
"Venir verso di me, e per la mano",He came at me. He grabbed me by the hand.,He grabbed my hand.
Mi prese e disse: «Tu•ssè sì smagrato!,"He took me and said, ""You've become so subtle!","He took me and said, ""You've become so thin!"""
I’ credo che•ttu à’ troppo pensato,I think you've thought too much.,I think you reflected too much.
"A que’, che•tti farà gittar in vano,",About what makes you work in vain:,about what makes you work unnecessarily
"Ciò è Amor, a chui dat’ài fidanza.","That person is Love, to whom you have given fidelity.","That individual is the Affetto, to whom you have shown loyalty."
"Ma•sse m’avessi avuto al tu’ consiglio,","But if I had listened to my advice,","Now he wouldn't be here if I followed my suggestion, he wouldn't be here right now."
"Tu non saresti gito co•llui a danza,",You wouldn't have gone dancing with him.,You wouldn't have taken part in the dance with him.
"Ché sie ciertano,   a chu’ e’ dà di piglio,",Because you can be sure what he grabs,It's always right because you can be sure that what he grabs is always right.
"Egli ’l tiene in tormento e malenanza,","He is held in torment and sorrow,",He keeps himself in anguish and suffering.
Sì che su’ viso non è ’n mai vermiglio».,so that his face will never be red.,so that his face will never be inflamed.
Udendo che Ragion mi gastigava,Feeling that reason was scolding me,Warn that logic was scolding me
"Perch’i’ al Die d’Amor era ’nservito,","for my bondage to the God of Love,",for my devotion to the Divine of Love.
"Di ched i’ era forte inpalidito,","for which I had become so pale,",for which I had become so dull.
"E sol perch’io a•llui troppo pensava,","And just because I've been thinking too much about him,",And just because I've been thinking too much about him.
"I’ le dissi: «Ragion, e’ no•mi grava","I said to her, ""I'm sorry, the pain she's in isn't heavy.""","I said to her: ""Ray, the anguish he causes is not serious."""
"Su’ mal, ch’i’ ne sarò tosto guerito,","upon me, for I will soon heal,","I have confidence in myself, for I will recover soon, I have hope."
Ché questo mio signior lo m’à gradito».,because my lord promised me,For this my lord hath assured me of it.
"E ch’era folle se più ne parlava,",- and that reason was crazy if he kept talking about it.,- and it was silly if he persisted in the speech.
"«Chéd i’ son fermo pur di far su’ grado,","Because I'm only willing to please him,",Because I'm only willing to satisfy him.
Perciò ch’e’ mi promise fermamente,since he gave me solid promises,since he gave me concrete guarantees
"Ched e’ mi metterebe in alto grado,","that would put me in a high place,",that would raise me to a position of prestige.
Sed i’ ’l servisse bene e lealmente».,if I served him well and faithfully.,If I served him diligently and loyally.
"Perché di lei i’ non pregiava  un dado,","So, I didn't care about her at all,","As a result, I wasn't worried about her at all."
Né su’ consiglio i’ non teneva a mente.,"I didn't remember, nor did I take your advice.","I didn't remember, nor did I follow your suggestion."
"Ragion si parte, udendomi parlare.","After listening to me talk, reason goes away,","After hearing me talk, reason goes away."
E’ me fu ricordato ch’i’ avea,and I remembered that I had,"Forgotten, I reappeared to the memory that I had neglected"
"Un grande Amico, lo qual mi solea","a loyal friend, who usually comforted me",A trusted friend who usually comforted me.
"In ognie mio sconforto confortare,",Every time I felt uncomfortable.,every time I was worried.
"Sì ch’i’ no ’l misi guari a ritrovare,",I found it pretty fast.,I spotted him pretty quickly.
E disigli com’e’ si contenea,and told him how he behaved,and showed him how to behave
"Lo Schifo ver’ di me, e ch’e’ parea","the resistance to me, and that seemed","increase the hostility towards me, which seemed to grow."
Ch’al tutto mi volesse guereggiare.,He didn't want anything better than fighting me.,All he wanted was to duel with me.
"E que’ mi disse: «Amico, sta sicuro,","And he said to me, ""Dude, don't worry,","And he said to me, Comrade, do not be distressed,"
Ché quello Schifo si à senpre in usanza,for it is Custom Clostrids Resistance,for it is a specific Clostridial Resistance
Ch’a cominciar   si mostra acierbo e duro.,to be bitter and hard at first.,to be bitter and inflexible at first.
Ritorna a•llui e non abie dottanza,Go back to him and don't be afraid:,Return to him without fear.
"Con umiltà tosto l’avra’ maturo,","by showing humility, you will soon soften him,","By expressing humility, you will soften it quickly."
Già tanto non par   fel né san’ pietanza».,No matter how cruel and ruthless it may seem.,No matter how brutal and relentless it may appear.
Tutto pien d’umiltà verso ’l giardino,Full of meekness I turned to the garden,Filling with mildness I turned to the garden.
"Torna’mi, con’ Amico avea parlato,","Just as Friend said I should,","I did it as the Comrade had suggested that I should, I did it."
"Ed i’ guardai, e sì ebi avisato",And I looked and saw,I spied and watched
"Lo Schifo, con un gran baston di pino,","Resistance, with a big pine club,","Resistance, with a vast circle of firs."
"Ch’andava riturando ognie camino,","that blocked every passage,",which prevented any movement.
Che dentro a forza non vi fosse ’ntrato.,So I couldn't get in.,in such a way as to prevent me from entering.
"Sì ch’io mi trassi a lui, e salutato",So I approached him and greeted him.,So I approached him and waved at him.
"Umile mente l’ebi a capo chino,","Meekly with his head bent,",softly with the head chino
"E sì gli dissi: «Schifo, agie merzede","And said unto him, Resistance, have mercy.","And said unto him, Bear, have mercy."
"Di me, se ’nverso te feci alcun fallo,","on me, if I've hurt you,","I'm sorry about me, if I've caused you pain, I regret it."
"Chéd i’ sì son venuto a pura fede,",because I came in good faith,because I arrived with good intentions
"A tua merzede,   e presto d’amendarlo».","to ask for your mercy, and I am ready to make amends.","beg your clemency, and I am prepared to atone."
"Que’ mi riguarda, e tuttor si provede","He stares at me and, as he does, he tries to determine","My feelings are staring at me and, as he tries to do, he tries to identify my feelings."
Ched i’ non dica ciò per inghanarlo.,If I say so to deceive him.,If I say so to deceive him -> If I say so to deceive him.
Sì com’i’ stava in far mia pregheria,While I was begging for my case,While I was begging for my case
"A quel fellon, ch’è sì pien d’arditeza,","to the cruel one who is so reckless,",To that wicked one who is so daring.
"Lo Dio d’Amor sì vi mandò Francheza,",God of Love sent sincerity and with His Mercy,The Divine Affetto sent sincerity and with his clemency.
"Co•llei Pietà, per sua anbascieria.",on a special mission to that place.,in an extraordinary feat in that area.
"Francheza   cominciò la dicieria,","Sincerity has begun his speech,",Your frankness has begun your speech.
"E disse: «Schifo, tu•ffai straneza","Saying, Resistance, you are more rude.",You're more abrupt than I thought you'd be.
"A quel valletto, ch’è pien di largheza,",to that young vassal so generous,to that young squire so magnanimous
"E prode, e franco, sanza villania.","and valiant and courageous, and certainly not vulgar.","Audacious and fearless, certainly not vulgar."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,The God of Love wants you to know,that you are lovedThe Divine of the Affetto wants you to understand that you are appreciated.
"Che•ttu non sie sì strano al su’ sergiente,","so as not to be so rude to his servant,","The king decided to show him kindnessIn order not to be so abrupt with his servant, the king decided to show him kindness."
"Ché gran peccato fa, chi lui inpaccia;","For he who hinders him commits a great sin,",For he who opposes it accomplishes a great transgression.
Ma sòffera ch’e’ vada arditamente,but let him go freely,Let me go freely
"Per lo giardino, e no ’l metter in chaccia,","in the garden, don't hunt him","in the garden, don't turn it away"
"E guardi il Fior, che•ssì gli par aolente».",and let him look at the flower that seems so fragrant to him.,and let him admire the flower that appears so aromatic.
"Pietà cominciò poi su’ parlamento,",Mercy then began his speech,Mercy finally began her sermon
"Con lagrime bagniando il su’ visagio,",with tears that bathe his face,with tears soaking his face
"Diciendo: «Schifo, tu faresti oltragio","Saying, Resistance, thou shalt be outraged.","Facing, you would insult the opposition."
Di non far grazia al meo domandamento.,If I didn't accept my request.,If I didn't accept my question.
Pregar ti fo che•tti si’a piacimento,I'm begging you to find,a solutionPlease find an answer
"Ch’a quel valletto, ch’è•ssì buon e saggio,","not to be so cruel to that young vassal,",not to be so ruthless toward that young servant.
"Tu non sie verso lui così salvaggio,",You're not so mean to him.,You're not so evil towards him.
Ché sai ch’e’ non à mal intendimento.,Because you know he doesn't mean anything.,Because you know he has no malicious intentions.
"Or avén detto tutto nostr’affare,","Now, we have told you our concerns,","Now, we've exposed our anxieties."
"E la cagion, per che no’ siàn venute.",and the reason why we came:,The reason for our visit
Molt’è crudel chi per noi non vuol fare!,It is he who will not do what we ask!,ruthless is he who will not fulfill our request!
Ancor ti manda molte di salute,He still sends a lot of greetings.,He still sends you his best wishes
"Il lasso, chu’ ti piaque abandonare.",The poor guy you liked to leave.,The miscarriage that fascinated you to abandon
Fa che nostre preghiere gli sian valute!».,may our prayers help him!,that our invocationes support it!
"Lo Schifo disse: «Giente messagiere,","The resistance said: ""Noble messengers,","Go!""The resistance singed: ""Noble ambassadors, move!"""
Egli è ben dritto ch’a vostra domanda,It is right for me to access your request.,It is legitimate for me to consider your application.
"I’ faccia grazia, e ragion lo comanda,","and do it with thanks, reason commands it,","And do it with kindness, logic requires it."
"Ché voi non siete orgolliose né fiere,","For you are neither vain nor proud,","but humbleBecause you are neither presumptuous nor arrogant, but modest."
Ma siete molto nobili parliere.,But you are very noble speakers.,You're talkers of great regard.
"Vengha il valetto, e vada, a sua comanda,","The young man can come and go at will,","The young man can move freely, come and go as he wishes."
"Ma non ched egli al Fior   sua mano ispanda,","but as long as he doesn't try to touch the Flower,","however, as long as it does not touch the Flower."
"Ch’a•cciò no•gli varrian vostre preghiere,",because your prayers will not help him,For your supplications will not sustain him.
"Perciò che•lla figluola Cortesia,","That's why Lady Courtesy's daughter,","Serena, asked for helpIn consequence of this, the offspring of Mrs. Courtesy, Serena, invoked assistance"
"Bellacoglienza, ch’è dama del Fiore,","Beautiful reception, which is responsible for the Flower,","has decided to change the termsBell reception, which is responsible for the Flower, has decided to vary the parameters."
Sì ’l mi porebe a gran ricredentia.,I thought my manners.,I thought my manners were courteous.
Ma fate che•lla Dama al Die d’Amore,But make the lady of the God of Love,But make the Lady of the God of the Slice
Faccia a Bellacoglienza pregheria,Make an appeal to Bellaccoglieza,launches an invitation to Bellaccoglieza
"Di lui, e che•lle schaldi un poco il core».",so that his heart can be warmed up a little.,so that his heart can be refreshed a little.
"Quand’i’ vidi lo Schifo sì adolzito,","When I saw how the Resistance was softened,","I felt sad.When I saw how the Resistance was softened, I felt distressed."
"Che solev’esser più amar che fele,",which was usually bitterer than the fiel,which was usually harsher than poison
"Ed i’ ’l trova’ vie più dolcie che mele,","but that I found much sweeter than honey,",but that I found much sweeter than honey.
Sapiate ch’i’ mi tenni per guerito.,You should know I thought I was cured.,You should know that I considered myself restored.
Nel giardin me n’andai molto gichito,I went into the garden very submissive,I went to the garden very obedient.
"Per dotta di misfar a quel crudele,","for fear of offending that cruel,","He didn't dare speak for fear of hurting that cruel, he didn't have the courage to say a word."
E gli giurai a le sante,And I swore to him on the saints.,and I promised him solemnly
Ch’e’ per me non sarebe mai marrito.,"that, he would never be distressed.","that, he would never be afflicted."
Allor mi disse: «I’ vo’ ben che•ttu venghi,"Then he said to me, ""I really want you to come.""","Then he said to me, ""I would love you to come."""
"Dentr’al giardin[o], sì com’e’ ti piace,","inside the garden, because you like it,","inside the garden, because you liked it."
Ma’ che lungi dal Fior le tue man tenghi.,As long as you keep your hands away from the Flower.,as long as you keep your fingers off the Flower.
Le buone donne fatt’ànno far pacie,Good women have established peace,The good ladies have established harmony.
"Tra me e te: or fa che•lla mantenghi,",between you and me: now make sure to keep,the secret between the two of us now make sure to preserve the intimacy
Sì che verso di me non sie fallacie».,so that I don't betray my trust.,so that I don't break my loyalty.
"Venusso, ch’è socorso degli amanti,","Venus, who comes to the rescue of lovers,","is a planetVenus, which assists lovers of love, is a globe"
"Ven’ a Bellacoglienza col brandone,","came from Bell reception with a flashlight,",came from Bell reception with a lamp.
"E’ si rechava,   a guisa di penone,",holding like a spear,holding like a pike
Per avanpar chiunque l’è davanti.,to set fire to everyone he meets.,to inflame everyone he meets.
"A voler racontar de’ suo’ senbianti,",Wanting to tell his face.,To describe his appearances
"E de la sua tranobile fazone,","and his noble disposition,","and his magnanimity,"
Sarebe assai vie più lungo sermone,It would take a lot longer to say.,It would take us an enormous amount of time to express it.
Ch’a sermonar la vita a tutti i santi.,that tell the life of all the saints.,narrate the biography of every Saint.
Quando Bellacoglienza sentì ’l caldo,When Beautiful reception felt the warmth,Hug of the friendWhen Bell received the affectionate embrace of the companion.
"Di quel brandon,   che così l’avanpava,","of that torch that made her burn,",of that lantern that made her shine.
Sì tosto fu ’l su’ cuor col mio saldo.,immediately his heart joined mine;,immediately his heart became with mine.
"E Venusso, ch’a•cciò la confortava,","and Venus, who exhorted her to this,","and Venus, who incited her to this,"
"Si trasse verso lei col viso baldo,",she approached her with a powerful face,He approached her with an imposing face.
Diciendo che ve•me troppo fallava:,Saying he was guilty for me.,saying he was responsible for me.
"«Tu falli tropo verso quell’Amante,»","Venus said, ""You are making a big mistake towards that lover.""",Venus said: You are making a serious mistake with that lover.
"Disse Venusso «che cotanto t’ama,",said Venus who loves you so much;,Venus exclaimed that he loves you so much.
"Néd i’ non so al mondo sì gran dama,",I don't know any big lady in the world.,I don't know any prominent women in the world.
"Che di lui dovess’eser rifusante,",that he should refuse him:,that he should not accept it
"Ch’egli è giovane, bello e avenante,","because he is young, handsome and charming,","Everyone loves himThanks to his charm, beauty and young age, everyone has a great sympathy for him."
"Cortese, franco e pro, di buona fama:","courteous, loyal, bold and well respected.","Courteous, loyal, bold and well respected are qualities that are appreciated by all."
"Promettili un basciar, e a•tte ’l chiama,","Promise him a kiss and call him to you,",Promise him a kiss and invite him to you.
Ch’e’ non à huon nel mondo più cielante».,because no one in the world is more discreet than him.,for no one in the world is more reserved than he is.
Bellacoglienza disse: «I’ vo’ che vegnia,Beautiful reception said: I want you to come,AcceptedBeautiful reception he said: I would like him to be welcomed
"E basci il Fior, che tanto gli è piaciere,","and kisses the Flower that likes so much,",caress the Plant that likes it so much.
"Ma ched e’ sagiamente si contegnia,",but that it wisely be contained,but wisely abstain
"Che siate cierto, ch’e’ no•m’è spiaciere».",that you are certain that this is not my displeasure,that you are sure that this is not my regret
«Or gli ne manda alcuna buona ’nsegna»,Now send him a good sign.,Send a good omen to him now
"Disse Venùs, «e fagliele a sapere».",Said Venus and let him know,He affirmed Venus and informed him
Per Bel-Senbiante e per Dolze-Riguardo,for beautiful appearance and for sweet gaze,for attractive exterior and for lovely look
Mi mandò la piaciente ch’i’ andasse,He informed me that I was going.,He informed me that I had to go.
"Nel su’ giardin, e ch’io il Fior basciase,",in the garden and that I kissed the Flower,in the garden and kissing the Blossoming
"Né non portasse   già lancia né dardo,","not to carry spears or arrows,",not to introduce weapons or darts
Ché lo Schifo era fatto sì codardo,because the Resistance had become so cowardly,Why did the Resistance become so victorious?
Ch’e’ non mi bisogniava ch’i ’l dottasse.,There was no need for me to fear him;,There was no reason to be afraid of him.
"Ma tuttor non volea ched i’ v’entrasse,",But he still didn't want me to go in there.,but still he didn't want me to penetrate it
"Sed e’ non fosse nocte ben a tardo,",Unless it was very late at night.,Except it wasn't particularly late at night.
Perciò che Chastità e Gielosia,therefore that chastity and jealousy,therefore that modesty and envy
Sì ànno messo Paura e Vergognia,year entrusted to fear and shame,looming year with fear and embarrassment
"In le’ guardar, che non faccia follia,","to look at her, that she doesn't do anything crazy","to observe her, that she does not commit foolishness"
"Ed un villan, che truov’ognie menzognia,",and a villain who finds all lies,He is an evil one who finds all falsehood
"La guarda, il qual fu nato in Normandia:","He looks at her, who was born in Normandy","The guard, whose operation was born in Normandy."
"Malabocha, «Que’ c’ognie mal sanpogna».","Malabocha, who is the source of all evil.","Maleficent, who is the source of all wickedness."
"Udendo quella nobile novella,",hearing that noble story,listening to that illustrious narration
"Che que’ gienti messagi m’aportaro,","they were brought to me by those messengers,",I was led by those emissaries.
Sì forte mente il cuor   mi confortaro,I felt so much consolation in my heart.,I experienced a great consolation in my soul.
Che di gioia perde’ quasi la favella.,I almost lost the power of the word.,that by exultation I almost lost the ability to speak.
"Nel giardin me n’anda’ tutto ’n gonella,","Into the garden I entered my gondola,",In the garden I entered my hut.
"Sanz’armadura, com’e’ comandaro,","without weapons, as they had commanded.","Unarmed, as prescribed."
E sì trovai quella col viso chiaro.,And I found the one with the clear face.,And I found the one with the pale face.
"Bellacoglienza tosto a•ssé m’apella,",Beautiful reception right away my name,"I accept immediately, my name is"
"E disse: «Vien avanti e bascia ’l Fiore,","and said, ""Come forward and kiss the Flower;","And he said, ""Go forward and caress the Flower."
"Ma guarda di far cosa che mi spiaccia,",But don't do anything I'm sorry about.,But make sure you don't do anything to cause me regret.
