Original,Translate_fr_1,Translate_fr_2
"Vivesse,  gli sarebe forte e grave","S'il était en vie, ce serait dur pour lui.","S'il était encore en vie, ce serait difficile pour lui."
"Multiplicar ben ognie mia quistione,",pour calculer tous les problèmes,résoudre toutes les questions
"C’Amor mi move sanza mesprigione,","que l'Amour me donne, sans erreur.","que l'Amour m'accorde, sans échecs."
"E di ciascuna porta esso la chiave,","Et pourtant, pour chaque porte à l'exhibition de la clé,","Cependant, pour chaque entrée il y a une solution."
Ed àllemi nel cor fermate e messe,Et elle les a mis dans mon cœur.,Elle les a gravés dans mon âme.
"Con quella chiavicella, ch’i’ v’ò detto,",Avec cette clé que je vous ai dit.,en utilisant le mot que j'ai indiqué
Per ben tenermi tutte sue promesse.,pour tenir toutes ses promesses à moi.,pour respecter tous ses engagements avec moi.
"Perch’io a•ssue merzé tuttor mi metto,",C'est pourquoi je suis toujours prêt à faire ses ordres.,C'est pourquoi je suis toujours prêt à exécuter ses commandes.
"Ma ben vore’ che, quando gli piaciesse,","Cependant, je voudrais pour lui - chaque fois qu'il veut -","le bonheur, cependant, je désire pour lui - chaque fois qu'il le désire - la béatitude."
"E’ m’allegiasse il mal, che•ssì m’à stretto.",pour soulager la douleur qui m'a conquis.,Pour atténuer l'agonie qu'il m'a agressée.
"Dogliendomi in pensando del villano,",Pensant tristement à cette sauvage,NuitRifléter malincencieusement sur cette nuit sauvage
"Che•ssì vilmente dal Fior m’à lungiato,","qui, si sauvagement, m'a poursuivi de la Fleur,","qui me poursuivit si férocement de la Fleur,"
"Ed i’ mi riguardai dal dritto lato,",J'ai regardé sur mon côté droit.,J'ai examiné mon côté droit.
"E sì vid’i’ Ragion, col viso piano,","Et j'ai vu la raison, qui, avec le visage tranquille,","Je regardais la justification, qui, avec un visage serein, observait."
"Venir verso di me, e per la mano","Il vient vers moi, il m'a pris par la main.","Il s'approche de moi, il m'a attrapé la main."
Mi prese e disse: «Tu•ssè sì smagrato!,"Il m'a pris et m'a dit: ""Tu es devenu si mince!","Il m'a dit: ""Tu es devenu si maigre !"""
I’ credo che•ttu à’ troppo pensato,Je pense que tu en as trop pensé.,Je pense que tu as trop réfléchi.
"A que’, che•tti farà gittar in vano,",En parlant de ce qui te fait travailler en vain:,en ce qui concerne ce qui vous fait travailler inutilement
"Ciò è Amor, a chui dat’ài fidanza.","Cette personne est l'Amour, à qui tu as donné fidélité.","Cet individu est l'affection, à laquelle tu as fait preuve de loyauté."
"Ma•sse m’avessi avuto al tu’ consiglio,","Mais si j'avais écouté mon conseil,","Maintenant il ne serait pas là si j'avais suivi ma suggestion, il ne serait pas là maintenant."
"Tu non saresti gito co•llui a danza,",Tu n'allais pas danser avec lui.,Tu n'aurais pas pris part à la danse avec lui.
"Ché sie ciertano,   a chu’ e’ dà di piglio,",Parce que tu peux être sûr que ce qu'il attrape,"C'est toujours juste, car vous pouvez être sûr que ce qu'il attrape est toujours correct."
"Egli ’l tiene in tormento e malenanza,","Il se tient dans le tourment et la douleur,",Il se maintient dans l'angoisse et la souffrance.
Sì che su’ viso non è ’n mai vermiglio».,de telle sorte que son visage ne sera jamais rouge.,de telle sorte que son visage ne sera jamais enflammé.
Udendo che Ragion mi gastigava,Sentir que la raison me réprimandait,Avertir que la logique me réprimandait
"Perch’i’ al Die d’Amor era ’nservito,","pour mon esclavage au Dieu de l'Amour,",pour ma dévotion au Divin de l'Amour.
"Di ched i’ era forte inpalidito,","C'est pour ça que j'étais devenu si pâle,",pour lequel j'étais devenu si ému.
"E sol perch’io a•llui troppo pensava,","et juste parce que j'ai trop pensé à lui,",C'est parce que j'ai trop réfléchi à lui.
"I’ le dissi: «Ragion, e’ no•mi grava","Je lui ai dit: ""C'est pourquoi la douleur qu'elle inflige ne pèse pas.""","Je lui ai dit: ""Raison, l'angoisse qu'elle cause n'est pas grave."""
"Su’ mal, ch’i’ ne sarò tosto guerito,","sur moi, parce que je vais bientôt guérir,","J'ai confiance en moi-même, car je récupérerai bientôt, j'ai de l'espoir."
Ché questo mio signior lo m’à gradito».,Car mon seigneur me l'a promis.,Car mon seigneur me l'a promis.
"E ch’era folle se più ne parlava,",- et cette raison était folle s'il n'arrêtait pas d'en parler.,- et c'était stupide s'il persévérait dans son discours.
"«Chéd i’ son fermo pur di far su’ grado,","Parce que je suis prêt à lui plaire,",Parce que je suis prêt à le satisfaire.
Perciò ch’e’ mi promise fermamente,Depuis qu'il m'a donné des promesses solides,Depuis qu'il m'a donné des garanties concrètes
"Ched e’ mi metterebe in alto grado,","qu'il allait me mettre dans un haut endroit,",qui m'élèverait à une position de prestige.
Sed i’ ’l servisse bene e lealmente».,Si je le servais bien et fidèlement.,si je le sers avec diligence et loyalement.
"Perché di lei i’ non pregiava  un dado,","Donc, je ne me souciais pas du tout d'elle,","Par conséquent, je ne m'inquiétais pas pour elle."
Né su’ consiglio i’ non teneva a mente.,Je ne me suis pas souvenu et je n'ai pas suivi son conseil.,Je ne me suis pas rappelé et n'ai pas suivi votre suggestion.
"Ragion si parte, udendomi parlare.","Après m'avoir entendu parler, la raison s'en va,","Après m'avoir entendu parler, la raison s'en va."
E’ me fu ricordato ch’i’ avea,et je me suis souvenu que j'avais,"Oublié, je me suis réapparu à la mémoire que j'avais négligée."
"Un grande Amico, lo qual mi solea","un ami loyal, qui me réconfortait généralement.","Un ami digne de confiance, qui me consolait d'habitude."
"In ognie mio sconforto confortare,",Chaque fois que je me sentais mal à l'aise.,Chaque fois que j'étais inquiet.
"Sì ch’i’ no ’l misi guari a ritrovare,",Je l'ai trouvé assez vite.,Je l'ai localisé assez rapidement.
E disigli com’e’ si contenea,et lui dit ce qu'il faisait.,et lui a montré comment il devait se comporter.
"Lo Schifo ver’ di me, e ch’e’ parea","la résistance à moi, et qui semblait","Augmenter l'hostilité envers moi, qui semblait grandir."
Ch’al tutto mi volesse guereggiare.,Il ne voulait rien de mieux que de se battre avec moi.,Il ne voulait que du duel avec moi.
"E que’ mi disse: «Amico, sta sicuro,","Et il m'a dit: ""Mec, ne t'inquiète pas,","Et il me dit: Camarade, ne t'inquiète pas,"
Ché quello Schifo si à senpre in usanza,pour elle est Résistance Clostrides personnalisé,pour elle est une résistance Clostridiale spécifique
Ch’a cominciar   si mostra acierbo e duro.,pour être amer et dur au début.,pour être amer et inflexible au début.
Ritorna a•llui e non abie dottanza,Revenez le voir et n'ayez pas peur:,Retournez à lui sans crainte.
"Con umiltà tosto l’avra’ maturo,","En faisant preuve d'humilité, tu l'adouciras bientôt,","En faisant preuve d'humilité, tu vas l'adorer rapidement."
Già tanto non par   fel né san’ pietanza».,Peu importe à quel point ça peut sembler cruel et impitoyable.,Peu importe à quel point brutal et implacable il peut apparaître.
Tutto pien d’umiltà verso ’l giardino,"Plein d'humilité, je me suis tourné vers le jardin.","Je me suis tourné vers le jardin, rempli de douceur."
"Torna’mi, con’ Amico avea parlato,","Comme Ami avait dit que je devrais,","Je l'ai fait comme le camarade avait suggéré que je devrais, je l'ai fait."
"Ed i’ guardai, e sì ebi avisato","Et j'ai regardé, et je l'ai vu.",J'ai espionné et regardé.
"Lo Schifo, con un gran baston di pino,","Résistance, avec un grand club fait de pin,","Résistance, avec un vaste cercle de sapins."
"Ch’andava riturando ognie camino,","qui bloquait chaque passage,",qui empêchait tout mouvement.
Che dentro a forza non vi fosse ’ntrato.,Pour que je ne puisse pas entrer.,de manière à m'empêcher d'entrer.
"Sì ch’io mi trassi a lui, e salutato","Alors, je me suis approché et je lui ai dit au revoir.","Alors, je me suis approché et je l'ai salué avec un signe."
"Umile mente l’ebi a capo chino,","humblement avec la tête pliée,",Doucement avec la tête quino
"E sì gli dissi: «Schifo, agie merzede","Et il lui dit: Résistance, aie pitié.","Et il lui dit: Suffit, aie miséricorde."
"Di me, se ’nverso te feci alcun fallo,","sur moi, si je t'ai fait du mal,","Je suis désolée à propos de moi, si je t'ai fait mal, je suis désolée."
"Chéd i’ sì son venuto a pura fede,",parce que je suis venu de bonne foi,parce que je suis venu avec de bonnes intentions
"A tua merzede,   e presto d’amendarlo».","pour demander votre miséricorde, et je suis prêt à me racheter.","implorer votre clémence, et je suis prêt à expier."
"Que’ mi riguarda, e tuttor si provede","Il me fixe et, comme il le fait, essaie de déterminer","Mes sentiments Il me regarde fixement et, comme il essaye de le faire, il essaie de localiser mes sentiments."
Ched i’ non dica ciò per inghanarlo.,Si je le dis pour le tromper.,Si je le dis pour le tromper -> Si je vous le dis pour tromper.
Sì com’i’ stava in far mia pregheria,Pendant que je suppliais mon cas,Pendant que j'implorais mon affaire
"A quel fellon, ch’è sì pien d’arditeza,","à ce cruel qui est si imprudent,",À ce méchant qui est si téméraire.
"Lo Dio d’Amor sì vi mandò Francheza,",le Dieu de l'Amour a envoyé la sincérité et sa miséricorde,Le Divin de l'Affectation a envoyé sincérité et avec sa Clemence.
"Co•llei Pietà, per sua anbascieria.",sur une mission spéciale à cet endroit.,dans une entreprise extraordinaire dans cette région.
"Francheza   cominciò la dicieria,","La sincérité a commencé son discours,",La franchise a commencé son discours.
"E disse: «Schifo, tu•ffai straneza","en disant: Résistance, tu es plus impolie",Tu es plus brutal que je ne le croyais.
"A quel valletto, ch’è pien di largheza,",à ce jeune vassal si généreux,à ce jeune écuyer si magnanime
"E prode, e franco, sanza villania.","et vaillant et courageux, et certainement pas vulgaire.","Audacieux et intrépide, certainement pas vulgaire."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,Le Dieu de l'Amour veut te faire savoir,que vous êtes aiméLe Divin de l'affection veut vous faire comprendre que vous êtes apprécié.
"Che•ttu non sie sì strano al su’ sergiente,","pour ne pas être si impolie avec son serviteur,","Le roi décida de lui montrer de la bonté Pour ne pas être aussi brutal avec son serviteur, le roi décida de lui témoigner de la bonté."
"Ché gran peccato fa, chi lui inpaccia;","parce que celui qui l'entrave commet un grand péché,",Car celui qui le combat fait une grande transgression.
Ma sòffera ch’e’ vada arditamente,Mais laisse-le partir librement.,Laisse-le partir.
"Per lo giardino, e no ’l metter in chaccia,","dans le jardin, ne le chasse pas","dans le jardin, ne l'éloigne pas"
"E guardi il Fior, che•ssì gli par aolente».",et laissez-le regarder la fleur qui lui semble si parfumée.,et laissez-le admirer la fleur qui lui apparaît si aromatique.
"Pietà cominciò poi su’ parlamento,",Miséricorde a alors commencé son discours,La piété a finalement commencé son sermon
"Con lagrime bagniando il su’ visagio,",avec des larmes qui baignent son visage,avec les larmes qui trempent son visage
"Diciendo: «Schifo, tu faresti oltragio","en disant: Résistance, tu ferais des outrages","En affrontant, tu insulterais l'opposition."
Di non far grazia al meo domandamento.,Si je n'accepte pas ma demande.,Si je n'accepte pas ma question.
Pregar ti fo che•tti si’a piacimento,Je t'en supplie.,une solutionS'il vous plaît trouver une réponse
"Ch’a quel valletto, ch’è•ssì buon e saggio,","de ne pas être aussi cruel envers ce jeune vassal,",de ne pas être aussi impitoyable envers ce jeune serviteur.
"Tu non sie verso lui così salvaggio,",Tu n'es pas si mauvais envers lui.,Tu n'es pas si malveillant envers lui.
Ché sai ch’e’ non à mal intendimento.,Parce que tu sais qu'il n'a pas de mauvaises intentions.,Parce que tu sais qu'il n'a pas de mauvaises intentions.
"Or avén detto tutto nostr’affare,","Maintenant, nous vous avons dit nos préoccupations,","Maintenant, nous avons exposé nos inquiétudes."
"E la cagion, per che no’ siàn venute.",et la raison pour laquelle nous sommes venus:,La raison de notre visite
Molt’è crudel chi per noi non vuol fare!,C'est celui qui ne fera pas ce que nous demandons!,L'impitoyable est celui qui n'exaucera pas notre requête!
Ancor ti manda molte di salute,Il t'envoie toujours des salutations.,"Encore une fois, il t'envoie ses vœux les plus sincères"
"Il lasso, chu’ ti piaque abandonare.",Le pauvre homme que tu as aimé abandonner.,Le malfaiteur qui t'a fasciné d'abandonner
Fa che nostre preghiere gli sian valute!».,Que nos prières l'aident !,Que nos invocations le soutiennent !
"Lo Schifo disse: «Giente messagiere,","La résistance dit: ""Messagers nobles,","Allez!""La résistance entonna: ""Nobles ambassadeurs, bougez!"""
Egli è ben dritto ch’a vostra domanda,Il est juste que j'accède à votre demande.,Il est légitime que je prenne en considération votre requête.
"I’ faccia grazia, e ragion lo comanda,","et faites-le avec grâce, la raison l'ordonne,","et faites-le gentiment, la logique l'exige."
"Ché voi non siete orgolliose né fiere,","parce que vous n'êtes ni vains ni orgueilleux,","mais humbles, car vous n'êtes ni présomptueux ni arrogant, mais modestes."
Ma siete molto nobili parliere.,Mais vous êtes des orateurs très nobles.,Vous êtes des grands parleurs.
"Vengha il valetto, e vada, a sua comanda,","Le jeune peut venir et aller à volonté,","Le jeune peut se déplacer librement, venir et aller comme il veut."
"Ma non ched egli al Fior   sua mano ispanda,","mais à condition que vous n'essayiez pas de toucher la Fleur,",Mais à condition que vous ne touchiez pas la Fleur.
"Ch’a•cciò no•gli varrian vostre preghiere,",Car tes prières ne l'aideront pas.,Car tes supplications ne le soutiendront pas.
"Perciò che•lla figluola Cortesia,","C'est pourquoi la fille de Lady Courtesy,","Serena, a demandé de l'aideEn conséquence, la progéniture de la Dame de l'aimableté, Serena, a demandé de l'aide."
"Bellacoglienza, ch’è dama del Fiore,","Beau accueil, qui est responsable de la Fleur,","a décidé de modifier les termesBell accueil, qui est responsable de la Fleur, a décidé de varier les paramètres."
Sì ’l mi porebe a gran ricredentia.,Je pensais que mes bonnes manières.,Je croyais que mes manières étaient aimables.
Ma fate che•lla Dama al Die d’Amore,Mais faites que la dame du Dieu de l'Amour,Mais faites que la Dame du Dieu de l'Affection
Faccia a Bellacoglienza pregheria,Faites un appel à Bellaccoglieza,lance une invitation à Bellaccoglieza
"Di lui, e che•lle schaldi un poco il core».",de sorte que son cœur peut être réchauffé un peu.,afin que son cœur puisse être un peu revigoré.
"Quand’i’ vidi lo Schifo sì adolzito,","Quand j'ai vu comment la Résistance était molle,","Je me suis senti triste.Quand j'ai constaté que la Résistance était adoucie, je me suis senti affligé."
"Che solev’esser più amar che fele,",qui était généralement plus amer que le fiel,qui était généralement plus âpre que le poison
"Ed i’ ’l trova’ vie più dolcie che mele,","mais que j'ai trouvé beaucoup plus sucré que le miel,",mais que j'ai trouvé beaucoup plus doux que le miel.
Sapiate ch’i’ mi tenni per guerito.,Tu devrais savoir que je me considérais guérie.,Tu devrais savoir que je me considérais restaurée.
Nel giardin me n’andai molto gichito,Je suis allé dans le jardin très soumis.,Je suis allé dans le jardin très obéissant.
"Per dotta di misfar a quel crudele,","de peur d'offenser ce cruel,","Il n'a pas osé parler par crainte de frapper ce cruel, il n'a pas eu le courage de dire un mot."
