Original,Translate_es_1,Translate_es_2
"Ma di lui mi richiamo a Pietanza,","Pero apelaré a Misericordia sobre él,",Voy a recurrir a la compasión por él.
Che vengha a•llui collo spunton in mano.,Para que pueda enfrentarlo con la lanza en la mano.,Para que pueda enfrentarlo con la espada desenvainada.
"Se mastro Arghùs, che fecie la nave,","Si el Maestro Argus, que construyó la nave","Si el Maestro Argus, que construyó el barco, no fuera tan competente, seguiríamos aquí."
"In che Giasòn  andò per lo tosone,","que Jason estaba buscando el Pulga de Oro,",que Jason buscaba la Joya de Oro
"E fecie a conto regole, e ragione,",y que inventaron las reglas y la lógica para el cálculo,Y diseñaron las normas y la sensatez para la elaboración.
"E le diecie figure, com’on save,","y los diez signos numéricos, como todo el mundo sabe,","Son 0, 1, 2, 3, 4, 5, 6, 7 , 8 y 9 y los diez símbolos numéricos como todos saben son 0, 1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 y 9"
"Vivesse,  gli sarebe forte e grave","Si estuviera vivo, sería difícil para él.","Si aún estuviera vivo, sería difícil para él."
"Multiplicar ben ognie mia quistione,",para calcular todos los problemas,resolver todas las preguntas
"C’Amor mi move sanza mesprigione,","Que el amor me da, sin errores.","que el amor me concede, sin fracasos."
"E di ciascuna porta esso la chiave,","Y sin embargo, por cada puerta a la salida,","Sin embargo, para cada entrada hay una solución."
Ed àllemi nel cor fermate e messe,Y ella los puso en mi corazón,Ella los grabó en mi alma.
"Con quella chiavicella, ch’i’ v’ò detto,",Con la llave que les dije.,usando la palabra indicada por mí
Per ben tenermi tutte sue promesse.,para cumplir todas sus promesas a mí.,Para cumplir con todos sus compromisos conmigo.
"Perch’io a•ssue merzé tuttor mi metto,",Por eso siempre estoy dispuesto a hacer sus órdenes;,Por eso siempre estoy listo para ejecutar sus órdenes.
"Ma ben vore’ che, quando gli piaciesse,","Sin embargo, me gustaría para él - cada vez que quiera -","la felicidad Sin embargo, deseo para él - cada vez que lo desea - la bienaventuranza."
"E’ m’allegiasse il mal, che•ssì m’à stretto.",para aliviar el dolor que me conquistó.,Para mitigar la agonía que me atacó.
"Dogliendomi in pensando del villano,",Pensando tristemente en la salvaje,nocheReflexionando malicioso sobre esa salvaje noche
"Che•ssì vilmente dal Fior m’à lungiato,","que tan salvajemente me persiguió desde la Flor,","que tan ferozmente me persiguió desde la Flor,"
"Ed i’ mi riguardai dal dritto lato,",Miré a mi lado derecho,Examiné mi flanco derecho
"E sì vid’i’ Ragion, col viso piano,","Y vi la razón, que con la cara tranquila,","Estaba mirando la justificación, que, con una cara serena, observaba."
"Venir verso di me, e per la mano","Viene hacia mí, me cogió de la mano.","Se acerca a mí, me agarró la mano."
Mi prese e disse: «Tu•ssè sì smagrato!,"Me tomó y dijo: ""¡Te has vuelto tan sutil!","Me tomó y dijo: ""¡Te has vuelto tan delgado!"""
I’ credo che•ttu à’ troppo pensato,Creo que pensaste demasiado.,Creo que has reflejado demasiado.
"A que’, che•tti farà gittar in vano,",Hablando de lo que te hace trabajar en vano:,en cuanto a lo que te hace trabajar innecesariamente
"Ciò è Amor, a chui dat’ài fidanza.","Esa persona es el Amor, al que le has dado fidelidad.","Ese individuo es el Afecto, al que has demostrado lealtad."
"Ma•sse m’avessi avuto al tu’ consiglio,","Pero si hubiera escuchado mi consejo,","Ahora no estaría aquí si hubiera seguido mi sugerencia, ahora no estaría aquí."
"Tu non saresti gito co•llui a danza,",No ibas a bailar con él.,No ibas a participar con él en el baile.
"Ché sie ciertano,   a chu’ e’ dà di piglio,",Porque puedes estar seguro de que lo que él agarra,Siempre es justo porque puedes estar seguro de que lo que él agarra es siempre correcto.
"Egli ’l tiene in tormento e malenanza,","Él se mantiene en el tormento y el dolor,",Él se mantiene en angustia y sufrimiento.
Sì che su’ viso non è ’n mai vermiglio».,De tal manera que su rostro nunca será rojo.,de tal manera que su rostro nunca será inflamado.
Udendo che Ragion mi gastigava,Sentir que la razón me estaba regañando,Advertir que la lógica me estaba regañando
"Perch’i’ al Die d’Amor era ’nservito,","por mi esclavitud al Dios del Amor,",por mi devoción al Divino del Amor.
"Di ched i’ era forte inpalidito,","Así que me había puesto tan pálido,",por el cual me había vuelto tan agitado.
"E sol perch’io a•llui troppo pensava,","Y sólo porque pensé demasiado en él,",Y sólo porque pensé demasiado en él.
"I’ le dissi: «Ragion, e’ no•mi grava","Le dije: ""Por qué, el dolor que inflige no pesa.""","Le dije: ""Razón, la angustia que causa no es grave."""
"Su’ mal, ch’i’ ne sarò tosto guerito,","sobre mí, porque pronto me curaré,","Tengo confianza en mí mismo, porque pronto recuperaré, tengo esperanza."
Ché questo mio signior lo m’à gradito».,Porque este señor mío me lo ha prometido,Porque este señor mío me lo ha garantizado
"E ch’era folle se più ne parlava,",- y esa razón era una locura si seguía hablando de ello.,- y era tonto si perseveraba en el discurso.
"«Chéd i’ son fermo pur di far su’ grado,",Porque sólo estoy dispuesto a complacerlo.,Porque sólo estoy dispuesto a satisfacerlo.
Perciò ch’e’ mi promise fermamente,Desde que me dio promesas sólidas.,Desde que me dio garantías concretas
"Ched e’ mi metterebe in alto grado,","que me pondría en un lugar alto,",que me elevaría a una posición de prestigio.
Sed i’ ’l servisse bene e lealmente».,Si le sirves bien y fielmente.,Si le sirviera diligente y lealmente.
"Perché di lei i’ non pregiava  un dado,","Así que no me importaba en absoluto,","Por lo tanto, no me preocupaba por ella."
Né su’ consiglio i’ non teneva a mente.,No me acordé ni seguí su consejo.,No me acordé ni seguí su sugerencia.
"Ragion si parte, udendomi parlare.","Después de escucharme hablar, la razón se va,","Después de oírme hablar, la razón se va."
E’ me fu ricordato ch’i’ avea,Y recordé que tenía,Olvidé que volví a la memoria que había pasado por alto.
"Un grande Amico, lo qual mi solea","un amigo leal, que por lo general me consolaba",Un amigo de confianza que solía consolarme.
"In ognie mio sconforto confortare,",Cada vez que me sentía incómodo.,Cada vez que me preocupaba.
"Sì ch’i’ no ’l misi guari a ritrovare,",Lo encontré muy rápido.,Lo localicé bastante rápido.
E disigli com’e’ si contenea,y le dijo cómo se comportaba,y le dijo cómo debía comportarse
"Lo Schifo ver’ di me, e ch’e’ parea","la resistencia hacia mí, y que parecía","aumentar la hostilidad hacia mí, que parecía crecer."
Ch’al tutto mi volesse guereggiare.,No quería nada mejor que pelear conmigo.,Todo lo que quería era pelear conmigo.
"E que’ mi disse: «Amico, sta sicuro,","Y me dijo: ""Amigo, no te preocupes,","Y me dijo: Camarada, no te angusties,"
Ché quello Schifo si à senpre in usanza,para él es Resistencia Clostridi personalizado,para él es una resistencia Clostridial específica
Ch’a cominciar   si mostra acierbo e duro.,para ser amargo y duro al principio.,para ser amargo e inflexible inicialmente.
Ritorna a•llui e non abie dottanza,Volved con él y no tengáis miedo:,Vuelvan a él sin temor.
"Con umiltà tosto l’avra’ maturo,","Al mostrar humildad, pronto lo suavizarás,","Si expresas humildad, lo suavizarás rápidamente."
Già tanto non par   fel né san’ pietanza».,No importa lo cruel y despiadado que parezca.,No importa lo brutal e implacable que parezca.
Tutto pien d’umiltà verso ’l giardino,Lleno de mansedumbre me volví hacia el jardín,Lleno de apacibilidad me volví hacia el jardín.
"Torna’mi, con’ Amico avea parlato,","Como Amigo dijo que debía,","Lo hice como el camarada sugirió que debía hacerlo, lo hice."
"Ed i’ guardai, e sì ebi avisato",Y miré y vi,Espié y observé
"Lo Schifo, con un gran baston di pino,","Resistencia, con un gran club hecho de pino,","Resistencia, con un gran círculo de abetos."
"Ch’andava riturando ognie camino,","que bloqueaba cada paso,",que evitaba cualquier movimiento.
Che dentro a forza non vi fosse ’ntrato.,Para que no pudiera entrar.,De tal forma que no pueda entrar.
"Sì ch’io mi trassi a lui, e salutato",Así que me acerqué y le saludé.,Así que me acerqué y le saludé con una amonestación.
"Umile mente l’ebi a capo chino,","Mansualmente con la cabeza doblada,",suavemente con la cabeza de chin
"E sì gli dissi: «Schifo, agie merzede","Y le dijo: Aguanta, ten piedad","Y le dijo: Soportación, ten misericordia"
"Di me, se ’nverso te feci alcun fallo,","sobre mí, si te he hecho daño,","Siento haberte causado dolor, lo siento."
"Chéd i’ sì son venuto a pura fede,",porque he venido de buena fe,porque he venido con buenas intenciones
"A tua merzede,   e presto d’amendarlo».","para pedir su misericordia, y estoy listo para hacer las paces.","Suplicar por su clemencia, y estoy preparado para expiar."
"Que’ mi riguarda, e tuttor si provede","Me mira fijamente y, como lo hace, trata de determinar","Mis sentimientos me miran fijamente y, como intenta hacer, trata de identificar mis sentimientos."
Ched i’ non dica ciò per inghanarlo.,Si lo digo para engañarlo.,Si lo digo para engañarlo -> Si se lo digo para engañar.
Sì com’i’ stava in far mia pregheria,Mientras suplicaba por mi caso,Mientras suplicaba por mi caso
"A quel fellon, ch’è sì pien d’arditeza,","a ese cruel que es tan imprudente,",A ese malvado que es tan temerario.
"Lo Dio d’Amor sì vi mandò Francheza,",el Dios del Amor ha enviado sinceridad y con su misericordia,El Divino del Afecto ha enviado sinceridad y con su clemencia.
"Co•llei Pietà, per sua anbascieria.",En una misión especial en ese lugar.,en una empresa extraordinaria en esa zona.
"Francheza   cominciò la dicieria,","La sinceridad comenzó su discurso,",La franqueza ha iniciado su discurso.
"E disse: «Schifo, tu•ffai straneza","diciendo: Resistencia, eres más grosero","De lo que pensé, eres más brusco de lo que creía."
"A quel valletto, ch’è pien di largheza,",A ese joven vasallo tan generoso,a ese joven escudero tan magnánimo
"E prode, e franco, sanza villania.","y valiente y valiente, y ciertamente no vulgar.","Audaz e intrépido, sin duda no vulgar."
Lo Dio d’Amor ti manda ch’e’ ti piaccia,El Dios del Amor quiere que sepas,que eres amadoEl Divino del Afecto desea hacerte comprender que eres apreciado.
"Che•ttu non sie sì strano al su’ sergiente,","para no ser tan grosero con su siervo,","El rey decidió mostrarle bondad Para no ser tan brusco con su siervo, el rey decidió mostrarle benevolencia."
"Ché gran peccato fa, chi lui inpaccia;","Porque el que le impide, comete un gran pecado,",Porque el que se opone a él está cometiendo una gran transgresión.
Ma sòffera ch’e’ vada arditamente,Pero déjalo ir libremente.,Déjame ir libremente.
"Per lo giardino, e no ’l metter in chaccia,","en el jardín, no lo eches","en el jardín, no lo alejes"
"E guardi il Fior, che•ssì gli par aolente».",Y déjelo ver la flor que le parece tan fragante.,Y déjelo admirar la flor que le parece tan aromático.
"Pietà cominciò poi su’ parlamento,",Misericordia entonces comenzó su discurso,La piedad finalmente comenzó su sermón
"Con lagrime bagniando il su’ visagio,",con lágrimas que mojan su cara,con lágrimas empapando su rostro
"Diciendo: «Schifo, tu faresti oltragio","diciendo: ""Resistencia, tú harías desacato""","Enfrentandote, insultarías a la oposición."
Di non far grazia al meo domandamento.,Si no acepto mi petición.,Si no acepto mi pregunta.
Pregar ti fo che•tti si’a piacimento,"Te lo suplico, puedes encontrarlo.","Una solución. Por favor, encuentre una respuesta."
"Ch’a quel valletto, ch’è•ssì buon e saggio,","No seas tan cruel con ese joven vasallo,",No seas tan despiadado con ese joven sirviente.
"Tu non sie verso lui così salvaggio,",Tú no eres tan malo para con él.,Tú no eres tan malvado para con él.
Ché sai ch’e’ non à mal intendimento.,Porque sabes que no tiene malas intenciones.,Porque sabes que no tiene intenciones malas.
"Or avén detto tutto nostr’affare,","Ahora, les hemos dicho nuestras preocupaciones,","Ahora, hemos expuesto nuestras ansiedades."
"E la cagion, per che no’ siàn venute.",y la razón por la que vinimos:,El motivo de nuestra visita
Molt’è crudel chi per noi non vuol fare!,¡Es cruel el que no hará lo que pedimos!,¡Despiadado es el que no va a cumplir nuestra petición!
Ancor ti manda molte di salute,Aún te manda saludos.,Aún te envía sus mejores deseos.
"Il lasso, chu’ ti piaque abandonare.",El pobre que te gustó abandonar,El despiadado que te fascinó abandonar
Fa che nostre preghiere gli sian valute!».,¡Que nuestras oraciones le ayuden!,¡Que nuestras invocaciones lo apoyen!
"Lo Schifo disse: «Giente messagiere,","La resistencia dijo: ""Mensajeros nobles,","¡Vayan!""La resistencia entonó: ""¡Nobles embajadores, muévanse!"""
Egli è ben dritto ch’a vostra domanda,Es justo que acceda a su petición.,Es legítimo que tenga en cuenta su petición.
"I’ faccia grazia, e ragion lo comanda,","Y hágalo con gracias, la razón lo ordena,","Y hágalo amablemente, la lógica lo requiere."
"Ché voi non siete orgolliose né fiere,","porque no sois vanos ni orgullosos,","Pero humildes porque no sois presuntuosos ni arrogantes, sino modestos."
Ma siete molto nobili parliere.,Pero ustedes son unos oradores muy nobles.,Vosotros sois grandes hablantes.
"Vengha il valetto, e vada, a sua comanda,","El joven puede venir e ir a voluntad,","El joven puede moverse libremente, venir e ir como desee."
"Ma non ched egli al Fior   sua mano ispanda,","pero con la condición de que no intentes tocar la Flor,","Sin embargo, siempre y cuando no toque la Flor."
"Ch’a•cciò no•gli varrian vostre preghiere,",Porque tus oraciones no le ayudarán,Porque tus súplicas no lo apoyarán
"Perciò che•lla figluola Cortesia,","Por eso la hija de Lady Courtesy,","Serena, ha pedido ayuda como consecuencia de ello, la prole de la Sra. Cortesía, Serena, ha pedido ayuda"
"Bellacoglienza, ch’è dama del Fiore,","Hermosa acogida, que es responsable de la Flor,","decidió modificar los términosBell recepción, que es responsable de la Flor, decidió variar los parámetros."
Sì ’l mi porebe a gran ricredentia.,Pensé que mis modales.,Pensé que mis modales eran amables.
Ma fate che•lla Dama al Die d’Amore,Pero hagan que la dama del Dios del Amor,Pero haga que la Señora del Dios del Afecto
Faccia a Bellacoglienza pregheria,Haga una llamada a Belaccoglieza,Lanza una invitación a Belaccoglieza
"Di lui, e che•lle schaldi un poco il core».",de modo que su corazón se puede calentar un poco.,para que su corazón pueda revivirse un poco.
"Quand’i’ vidi lo Schifo sì adolzito,","Cuando vi cómo la Resistencia estaba desmoronada,","Me sentí triste.Cuando vi cómo la Resistencia estaba suavizada, me sentí afligido."
"Che solev’esser più amar che fele,",que por lo general era más amargo que el fiel,que por lo general era más áspera que el veneno
"Ed i’ ’l trova’ vie più dolcie che mele,","pero que encontré mucho más dulce que la miel,",pero que he encontrado mucho más dulce que la miel.
Sapiate ch’i’ mi tenni per guerito.,Deberías saber que me consideraba curada.,Deberías saber que me consideraba restaurada.
Nel giardin me n’andai molto gichito,Me fui al jardín muy sumiso,Me fui al jardín muy obediente.
"Per dotta di misfar a quel crudele,","por miedo a ofender a ese cruel,","no se atrevió a hablar por temor a golpear a ese cruel, no tuvo el valor de decir una palabra."
E gli giurai a le sante,Y le juré por los santos,Y le prometí solemnemente
Ch’e’ per me non sarebe mai marrito.,que nunca habría estado angustiado.,que nunca habría sido afligido.
Allor mi disse: «I’ vo’ ben che•ttu venghi,"Entonces me dijo: ""De verdad quiero que vengas.""","Entonces me dijo: ""Me encantaría que vinieras."""
"Dentr’al giardin[o], sì com’e’ ti piace,","En el jardín, ya que te gusta,","en el interior del jardín, ya que te gustaba."
Ma’ che lungi dal Fior le tue man tenghi.,Siempre y cuando mantengas tus manos lejos de la Flor.,Con la condición de que mantengas tus dedos alejados de la Flor.
Le buone donne fatt’ànno far pacie,Las buenas mujeres han establecido la paz,Las buenas damas han establecido la concordia.
"Tra me e te: or fa che•lla mantenghi,",entre tú y yo: ahora asegúrate de mantener,el secreto entre nosotros ahora asegúrate de preservar la intimidad
Sì che verso di me non sie fallacie».,para no traicionar mi confianza.,para que no rompa mi lealtad.
"Venusso, ch’è socorso degli amanti,","Venus, que viene a rescatar a los enamorados,","es un planeta Venus, que ayuda a los amantes del amor, es un globo"
"Ven’ a Bellacoglienza col brandone,","Vino de la recepción de Bell con una linterna,",Llegó de Bell con una lámpara.
"E’ si rechava,   a guisa di penone,",que sostenía como una lanza,que empuñaba como una pica
Per avanpar chiunque l’è davanti.,Para prender fuego a todos los que conoce.,Para encender a todos los que conoce.
"A voler racontar de’ suo’ senbianti,",Queriendo contarle sus apariencias.,Para describir sus apariencias
"E de la sua tranobile fazone,","y su noble disposición,","y su magnanimidad,"
Sarebe assai vie più lungo sermone,Tardaría mucho más en decirlo.,Nos llevaría mucho tiempo expresarlo.
Ch’a sermonar la vita a tutti i santi.,que contar la vida de todos los santos.,narrar la biografía de cada santo.
Quando Bellacoglienza sentì ’l caldo,Cuando Bell recepción sintió el calor,abrazo de la amigaCuando Bell recibe el abrazo cariñoso de la compañera.
"Di quel brandon,   che così l’avanpava,","de esa antorcha que la quemaba,",De esa linterna que la hacía brillar.
