Original,Translate_EN,Translate_IT
Tant’à in le’ piacimento.,for so much pleasure is in her. ,perché tanto piacere c'è in lei.
Non so se piacimento,I don’t know if she wants ,Non so se vuole
Le sia ched i’ la serva:,me to serve her:,io per servirla:
"Almen può dir che serv’à,","at least she can say she has a servant, ","almeno può dire di avere una serva,"
Come ch’i’ poco vaglia.,although I am of little worth. ,anche se valgo poco.
"Amor nessun non vaglia,","Love refuses no one, ","L'amore non rifiuta nessuno,"
"Ma ciaschun vuole ed ama,",but desires and loves all those ,ma desidera e ama tutti quelli
"Chi di lui ben s’inama,","who eagerly fall in love,","che si innamorano avidamente,"
E di colu’ fa forza,and esteems those ,e li stima
Che con piacier fa forza,who strive to please him ,che si sforzano di compiacerlo
"E non-à, in nulla, parte.",and are completely subservient. ,e sono completamente sottomessi.
Amor i•nulla part’è,Love is always ,L'amore è sempre
Ch’e’ non sia tutto presto,completely willing to help ,completamente disposto ad aiutare
A fine amante presto.,a perfect lover who’s willing to serve. ,un amante perfetto che è disposto a servire.
Così sue cose livera,"Thus, he gives his bounty ","Quindi, dà la sua taglia"
A chi l’amor no•llivera,to the one who does not abandon love ,a chi non abbandona l'amore
E mette pene e ’ntenza,and puts much effort and desire ,e mette molta fatica e voglia
"In far sua penetenza,",into doing such penance ,a fare tale penitenza
Tal chente Amor comanda,as Love imposes ,come l'Amore impone
A chi a•llu’ s’acomanda;,on the one who trusts him; ,su chi si fida di lui;
"E chi la porta in grado,","and if one bears the penance gladly, ","e se uno sopporta volentieri la penitenza,"
Il mette in alto grado,Love puts this one in a high place ,L'amore mette questo in una posizione elevata
"Di ciò, ched e’ disia:",with respect to the object of his desire: ,rispetto all'oggetto del suo desiderio:
Per me cotal dì sia!,May such a day dawn for me! ,Possa sorgere per me un giorno simile!
"Per ch’i’ già non dispero,","For this reason I do not despair, ","Per questo non dispero,"
Ma ciaschedun dì spero,but every day hope,ma ogni giorno speranza
"Merzé, po’ ’n su’ travaglio","for favors, since, in his torture chamber, ","per favori, poiché, nella sua camera di tortura,"
"I’ son, sanza travaglio,",I am without pain ,Sono senza dolore
E sonvi sì legato,and am bound there so securely ,e sono legato lì così saldamente
Ch’i’ non vo’ che Legato,that I do not wish a papal legate ,che non desidero un legato pontificio
Giamai me ne prosciolga:,to ever loose my bonds: ,per sciogliere sempre i miei legami:
"Se•nn’à d’altri pro’, sciolga!","if others may profit from it, let them be loosed! ","se altri possono trarne profitto, siano sciolti!"
"Ch’i’ vo’ c’Amor m’aleghi,",For I wish to be bound to Love ,Perché desidero essere legato all'Amore
Che che Ragion m’alleghi:,no matter what Reason may allege; ,qualunque cosa la Ragione possa sostenere;
"Di lei il me’ cor sicura,","Love protects my heart from her, ","L'amore protegge il mio cuore da lei,"
Né più di lei non cura.,and it is no longer concerned with her; ,e non si occupa più di lei;
Ella si fa diessa:,"she declares herself a goddess, ","si dichiara una dea,"
Né•ffu né fia di essa.,but she never was nor ever will be one. ,ma lei non lo è mai stata né mai lo sarà.
Amor blasma e disfama,Reason censures and disparages Love ,La ragione censura e scredita l'Amore
"E dicie ch’e’ difama,","and says that he’s dishonorable, ","e dice che è disonorevole,"
"Ma non del mi’, ciertano:",but certainly not with me:,ma non certo con me:
Perch’i’ per le’ ciertan ò,because from her I know for sure ,perché da lei lo so per certo
Che ciaschedun s’abatte;,that anyone can be defeated; ,che chiunque può essere sconfitto;
"Me, che d’Amor sa, batte,",she attacks Love as best she knows how. ,attacca l'Amore come meglio sa.
"Ed a me dicie: «Folle,","And she says to me: “Foolish one, ","E lei mi dice: ""Stolto,"
Perché così t’afolle,why do you strive so foolishly ,perché ti sforzi così stupidamente?
D’aver tal signori[a]?,to have such a lordship? ,avere una tale signoria?
I’ dico signo•ri’à,I mean that whoever ,Voglio dire che chiunque
Chi porta su’ sugiello.,bears his seal has a terrible lord. ,porta il suo sigillo ha un signore terribile.
I’ per me non sugiello,For myself I do not put my seal ,Per me stesso non metto il mio sigillo
"Della sua ’nprenta, breve,","on any paper that bears his stamp, ","su qualsiasi carta che porta il suo timbro,"
Ch’è troppo corta e breve,"for happiness is too short and fleeting, ","perché la felicità è troppo breve e fugace,"
"La gioia, e la noia lungha.",and unpleasantness much too long. ,e spiacevolezza troppo a lungo.
"Or taglia ’ gieti, e lungha",Now cut your bonds and go far away ,Ora taglia i tuoi legami e vai lontano
"Da lui, ch’egl’è di parte","from him, for Love’s nature is such that, ","da lui, perché la natura dell'amore è tale che,"
"Che, chi da lu’ si parte,","he shuns the one who gets away from him, ","evita chi si allontana da lui,"
"E’ fugie, e si va via.",and goes the other way. ,e va dall'altra parte.
"Or non tener sua via,","Thus, do not follow his path, ","Quindi, non seguire la sua strada,"
Se vuo’ da•llui canpare;,if you want to escape from him; ,se vuoi fuggire da lui;
"E se non, mal camp’are,",otherwise you are plowing a bad field,altrimenti stai arando un brutto campo
"Che biado non vi grana,",in which good grain will not grow; ,in cui il buon grano non crescerà;
Anzi perde la grana,"indeed, whoever sows there ","anzi, chi vi semina"
Chiunque la vi gietta.,will lose his seed. ,perderà il suo seme.
"Perdio, or te ne gietta","For God’s sake, get away ","Per l'amor di Dio, vattene"
"Di quel falso diletto,","from that false pleasure, ","da quel falso piacere,"
E fa che sia a diletto,"and let my pleasure be yours, ","e lascia che il mio piacere sia tuo,"
"Del mi’, ched egli è fine,",for it is perfect ,perché è perfetto
Che dà gioia sanza fine.,and gives unending joy. ,e dà gioia senza fine.
"Lo Dio, dov’ài credenza,",The god in whom you put your faith ,Il dio in cui riponi la tua fede
Non ti farà credenza,"will give you no guarantees, ","non ti darà alcuna garanzia,"
Se non come Fortuna.,except those that Fortune gives. ,tranne quelli che la fortuna dà.
"Tu•ssè in gran fortuna,","You will be in a great storm, ","Sarai in una grande tempesta,"
Se non prendi buon porto,if you do not find a safe harbor ,se non trovi un porto sicuro
"Per quel, ched i’ t’ò porto,","according to what I’ve told you, ","secondo quello che ti ho detto,"
"Ed a me non t’aprendi,",and if you don’t cling to me ,e se non ti aggrappi a me
E ’l mi’ sermone aprendi.,and learn from what I’ve said. ,e impara da quello che ho detto.
"Or mi rispondi, e di’,","Now answer me and speak, ","Ora rispondimi e parla,"
Ch’egli è ancor gran dì,for there’s still a lot of time ,perché c'è ancora molto tempo
A farmi tua risposta;,for you to give me your answer; ,che tu mi dia la tua risposta;
Ma no mi far risposta,but don’t simply reject ,ma non rifiutare semplicemente
"A ciò, ch’i’ ò proposato.",what I’ve proposed. ,quello che ho proposto.
Dì tu se pro’ posat’ò».,Tell me if I’ve framed the problem well.”,Dimmi se ho inquadrato bene il problema.
"E, quand’i’ ebi intesa","And, after I had heard","E, dopo che avevo sentito"
"Ragion, ch’è stata intesa","Reason, who was intent","Ragione, che era intenta"
A trarmi de la regola,upon leading me away from the rule,per avermi allontanato dalla regola
"D’Amor, che ’l mondo regola,","of Love, who rules the world,","d'Amore, che reggi il mondo,"
"I’ le dissi: «Ragione,","I said to her: “Reason,","Le ho detto: “Ragione,"
I’ ò salda ragione,I have a sound arrangement,Ho un buon arrangiamento
"Con Amor, e d’acordo","with Love, and we are very happy","con Amore, e siamo molto felici"
"Sian ben del nostro acordo,","with our agreement,","con il nostro accordo,"
Ed è scritto a mi’ conto,and it’s written in my ledger,ed è scritto nel mio libro mastro
Ch’i’ non sia più tu’ conto.,that I’m no longer indebted to you.,che non sono più in debito con te.
"È la ragion dannata,",That account is closed;,Quel conto è chiuso;
"Perch’i’ t’ò per dannata,",for which reason I do - and did - consider you,per questo motivo ti considero - e ti ho considerato
"Ed ebi per convento,","to be all washed up, as these matters go,","essere tutto spazzato via, mentre vanno queste cose,"
Po’ ch’i’ fu’ del convento,ever since I made my pact ,da quando ho fatto il mio patto
"D’Amor, cu’ Dio mantengha,","with Love, to whom may God extend a hand, ","con Amore, a cui Dio possa tendere la mano,"
E senpr’e’ me mantengha.,and may he always keep me safe and sound. ,e possa tenermi sempre sano e salvo.
"Tu mi vuo’ trar d’amare,",You want to keep me from loving ,Vuoi impedirmi di amare
E di’ c’Amor amar’è:,"and you say that Love is bitter, ","e dici che l'amore è amaro,"
"I’ ’l truova’ dolcie e fine,","but I have found him sweet and perfect, ","ma l'ho trovato dolce e perfetto,"
"E su’ comincio, e fine",and I liked and will like ,e mi è piaciuto e mi piacerà
"Mi piaque, e piacierà,","his beginning and end, ","il suo inizio e la sua fine,"
Ché ’n sé gran piacier’à.,because in him there is great pleasure. ,perché in lui c'è un grande piacere.
Or come vivereo?,"Now, how could I live? ","Ora, come potrei vivere?"
Sanz’Amor vive reo,Whoever lives in the world ,Chi vive nel mondo
Chi si governa al mondo;,lives badly without Love: ,vive male senza Amore:
Sanz’Amor egli è mondo,without Love he is bereft ,senza Amore è orfano
"D’ognie buona vertute,","of every good virtue, ","d'ogni buona virtù,"
Né non può far vertute;,and he cannot perform good deeds; ,e non può compiere buone azioni;
"Sanz’Amor sì è nuia,",without Love there is unpleasantness ,senza Amore c'è spiacevolezza
"Che, con chu’ regna, envia",who entices the one who dwells with her,che seduce colui che abita con lei
D’andarne diritto al luogo,to go straight to the place ,andare direttamente sul posto
Là dove Envia à•lluogo.,where Envy has her home. ,dove Envy ha la sua casa.
"E perciò non ti credo,","Therefore, I don’t believe you, ","Pertanto, non ti credo,"
Se•ttu diciess’o il Credo,even if you were to say the Creed ,anche se dicessi il Credo
"E ’l Pater nostro, e•ll’Ave.","and the Our Father, and the Hail Mary, ","e il Padre Nostro e l'Ave Maria,"
Sì poco in te senn’ave.,for so little wisdom is in you. ,poiché in te c'è così poca saggezza.
"Adio, ched i’ mi torno,","Goodbye, for I am leaving, ","Addio, perché me ne vado,"
E fine Amante torno,and I will return to being a perfect lover ,e tornerò ad essere un amante perfetto
Per devisar ,in order to compose another part,per comporre un'altra parte
Com’ell’è ben partita,"to describe how well proportioned she is, ","per descrivere quanto è ben proporzionata,"
"E di cors e di menbra,","both in her body and in her members, ","sia nel suo corpo che nelle sue membra,"
Sì come a me mi menbra».,just as I remember them.”,proprio come li ricordo.
Cape’ d’oro battuto,Her fine head of hair ,La sua bella capigliatura
"Paion, che m’àn battuto,","seems fashioned of gold, ","sembra fatto d'oro,"
"Quelli, che porta in capo,","golden strands that conquered me, ","fili dorati che mi conquistarono,"
Per ch’i’ a•llor fo capo.,and with these I’ll begin.,e con questi comincerò.
La sua piaciente ciera,Her lovely face ,Il suo bel viso
"Nonn-è senbiante a ciera,",does not resemble wax; ,non assomiglia alla cera;
Anz’è sì fresca e bella,"indeed, it is so radiant and beautiful ","anzi, è così radioso e bello"
Che lo me’ cor s’abella,that my heart takes satisfaction ,che il mio cuore si compiaccia
"Di non le mai affare,","in never comparing it to others, ","nel non paragonarlo mai agli altri,"
Tant’à piaciente affare.,such a lovely thing it is. ,è una cosa così bella.
"La sua fronte, e le ciglia,",Her forehead and her eyebrows surpass ,La sua fronte e le sue sopracciglia sorpassano
Bieltà dogni’altr’eciglia:,the beauty of every other woman:,la bellezza di ogni altra donna:
Tanto son ben voltati,they are so perfectly arched ,sono così perfettamente arcuati
Che ’ mie’ pensier’ voltati,that they have turned my thoughts ,che hanno rivolto i miei pensieri
"Ànno ver’ lei, che gioia","toward her, who gives me ","verso lei, che mi dà"
Mi dà più c’altra gioia.,with her sweet look ,con il suo sguardo dolce
In su’ Dolze-Riguardo,more happiness than any jewel. ,più felicità di qualsiasi gioiello.
"Di nu•mal à riguardo,",No one on whom she gazes ,Nessuno su cui guarda
"Cu’ ella guarda in viso,","is concerned about any sickness,","è preoccupato per qualsiasi malattia,"
"Tant’à piaciente aviso,",so lovely is her countenance. ,così bello è il suo volto.
E dà sì chiara lucie,The pupils of her eyes are so brilliant ,Le pupille dei suoi occhi sono così brillanti
"Ch’al sol to’ la sua lucie,",that they take away the sun’s light ,che tolgono la luce del sole
"E l’oscura, e l’aluna,",and darken and eclipse it ,e oscurarlo ed eclissarlo
Sì come il sol la luna.,just as the sun does to the moon. ,proprio come fa il sole con la luna.
Perch’i’ a quella spera,For this reason I’ve put ,Per questo motivo ho messo
"Ò messa la mia spera,","all my hope in that star, ","tutta la mia speranza in quella stella,"
"E, s’i’ ben co•llei regnio,","and since I live so well with her, ","e poiché vivo così bene con lei,"
I’ non vogli’altro regnio.,I desire no other earthly realm. ,Non desidero altro regno terreno.
"La bocca, e ’l naso, e ’l mento",Her mouth and nose and chin ,"La bocca, il naso e il mento"
"À più belli, e non mento,",are more beautiful -and I don’t lie- ,sono più belle -e non mento-
Ch’unque nonn-ebe Alena;,than those that Helen had;,di quelli che aveva Helen;
Ed à più dolcie alena,and her breath is more fragrant ,e il suo alito è più fragrante
"C’[à ne]ssuna pantera,",than any panther.,di qualsiasi pantera.
Perch’i’ ver’ sua pantera,"For this reason I have, in good faith, ","Per questo motivo ho, in buona fede,"
"I’ mi sono, ’n fed’, ito,",moved toward her net,si mosse verso la sua rete
E dentro vo’ fedito,and have stumbled into it; ,e vi sono inciampati;
Ed èmene sì preso,and thus it’s happened ,e così è successo
Ched i’ vi son sì preso,that I’ve been so firmly ensnared there ,che sono stato così saldamente intrappolato lì
"Che mai, di mia Partita","that never, by my own choice, ","che mai, per mia scelta,"
No•mi farò partita.,will I leave it. ,lo lascerò.
"La gola sua, e ’l petto,",Her throat and her breast ,La sua gola e il suo seno
"Sì chiar’è, ch’a Dio a petto",are so resplendent that ,sono così splendenti che
"Mi par esser la dia,",I seem to be in God’s presence ,Mi sembra di essere alla presenza di Dio
Ch’i’ vegio quella Dia.,on that day in which I look upon that goddess. ,in quel giorno in cui guardo quella dea.
Tant’è biancha e lattata,So white and creamy is she ,Così bianca e cremosa è lei
Che ma’ non fu alattata,that no creature has ever been ,che nessuna creatura è mai stata
Nulla di tal valuta.,born who is as worthy as she. ,nato che è degno come lei.
A me tropp’è valuta,"She is most precious to me, ","Lei è molto preziosa per me,"
Chéd ella sì m’à dritto,for she guided me ,perché lei mi ha guidato
"In saper tutto ’l Dritto,",to make a full study of the law ,per fare uno studio completo della legge
"C’Amor usa in sua Corte,","that Love follows in his court, ","che Amore segue nella sua corte,"
Ch’e’ non v’à legie corte.,where there are no useless laws. ,dove non ci sono leggi inutili.
"Mani à lunghette e braccia,","Her hands and arms are slender, ","Le sue mani e le sue braccia sono sottili,"
E chi co•llei s’abraccia,and whoever embraces her ,e chi l'abbraccia
"Giamai mal nonn-à ghotta,","never suffers any ill, ","non soffre mai alcun male,"
"Né di ren, né di ghotta:","no kidney disease, no gout: ","nessuna malattia renale, nessuna gotta:"
Il su’ nobile stato,her noble condition ,la sua nobile condizione
Sì mette in buono stato,puts everyone who gazes at her ,mette tutti quelli che la guardano
Chiunque la rimira.,in a blissful state. ,in uno stato beato.
Per che ’l me’ cor si mira,For this reason my heart gazes ,Per questo il mio cuore guarda
"In lei e notte, e giorno,","on her day and night, ","nel suo giorno e notte,"
"E senpre a•llei agiorno,","and with thoughts of her I always greet the dawn, ","e con il pensiero di lei saluto sempre l'aurora,"
"Ch’Amor sì•ll’à inchesto,","because Love has willed it so, ","perché Amore ha voluto così,"
Néd e’ non à inchesto,nor has my heart asked ,né il mio cuore ha chiesto
"Se potesse aver termine,","if this could come to an end, ","se tutto questo potesse finire,"
C’amar vorria san’ termine.,for it would want to love endlessly. ,perché vorrebbe amare senza fine.
"E quando va per via,","And when she goes along the street, ","E quando va per strada,"
Ciaschun di lei à ’nvia,everyone desires her ,tutti la desiderano
"Per l’andatura giente,",for her noble movement;,per il suo nobile movimento;
"E quando parla a giente,","and when she speaks with someone, ","e quando parla con qualcuno,"
Sì humil mente parla,she speaks so sweetly ,parla così dolcemente
Che bocie d’agnol par là.,that it seems to be an angel’s voice. ,che sembra la voce di un angelo.
Il su’ danzar e ’l canto,Her dancing and singing ,La sua danza e il suo canto
Val vie più ad incanto,are more enchanting than those ,sono più incantevoli di quelli
"Che di nulla serena,","of any siren,","di ogni sirena,"
Ché•ll’aria fa serena:,for they calm the atmosphere. ,perché calmano l'atmosfera.
"Qando la bocie lieva,",When she begins to speak ,Quando inizia a parlare
Ogne nuvol si lieva,"every cloud leaves the sky, ","ogni nuvola lascia il cielo,"
E l’aria riman chiara.,and the air remains crystal clear. ,e l'aria rimane cristallina.
Per che ’l me’ cor sì chiar’à,For this reason my heart is so faithful ,Per questo il mio cuore è così fedele
Di non far giamai canbio,that it will never seek to exchange her ,che non cercherà mai di scambiarla
Di lei a nessun canbio;,for another at any rate: ,per un altro in ogni caso:
Ch’ell’è di sì gran pregio,for she is of such worth ,perché è di tale valore
Ch’i’ non troveria pregio,that I could never find any ,che non ho mai trovato nessuno
"Nessun, che mai la vaglia.",treasure that would be equal to her. ,tesoro che sarebbe uguale a lei.
"Amor, se Dio mi vaglia,","Love, so help me God, ","Amore, quindi aiutami Dio,"
"Il terrebe a•ffollore,","would consider it madness, ","la considererei una follia,"
E ben seria foll’o re’,and I would indeed be foolish or wicked ,e sarei davvero stolto o malvagio
Quand’io il pensasse punto.,if I were to consider this at all. ,se dovessi considerare questo a tutti.
M’Amor l’à sì a punto,But Love has so precisely ,Ma l'Amore ha così precisamente
"Nella mia mente pinta,",painted her in my mind ,l'ha dipinta nella mia mente
Ch’i’ la mi vegio pinta,"that, no matter if I sleep or am awake, ","che, non importa se dormo o sono sveglio,"
"Nel cor, s’i’ dormo o veglio.",I see her painted in my heart.,La vedo dipinta nel mio cuore.
Unque asessino a Veglio,Never was an assassin ,Non è mai stato un assassino
"Non fu giamai sì presto,","so willingly disposed to the Old Man,","così ben disposto verso il Vecchio,"
"Né a Dio giamai il Presto,","nor Prester John to God, ","né il Prete Giovanni a Dio,"
Com’io a servir mante,as I am to serve for love ,come devo servire per amore
"Per le vertù, ch’à mante.",because of the many virtues she possesses.,per le tante virtù che possiede.
E s’io in lei pietanza,And if find pity in her ,E se trova pietà in lei
"Truov’, o d’una pietanza",or if I am granted ,o se mi è concesso
"Del su’ amor son contento,","a little portion of her love, ","una piccola parte del suo amore,"
"I’ sarò più contento,","I will be happier, ","sarò più felice,"
"Per la sua gran valenza,","because of her great worth, ","per il suo grande valore,"
Che s’io avese Valenza.,than if I were to possess Valencia.,che se possedessi Valencia.
Se Gielosia à ’n sé gina,If Jealousy has in herself the ability ,Se la gelosia ha in se stessa l'abilità
"Di tormene segina,","to take her away from me, ","per portarmela via,"
Lo Dio d’Amor mi mente:,then the God of Love is lying to me. ,allora il Dio dell'Amore mi sta mentendo.
Chéd i’ ò ben a mente,For I remember well ,Perché ricordo bene
"Ciò, ched e’ m’ebe in grado,","what pleasure he offered me, ","che piacere mi ha offerto,"
Sed i’ ’l servisse a grado.,provided that I would serve him faithfully. ,purché lo servissi fedelmente.
Ben ci à egli un camino,To be sure there is a shorter ,Per essere sicuri c'è un più breve
"Più corto, né ’l chamino,","way, but I do not take it, ","modo, ma non lo prendo,"
Perciò ch’i’ nonn-ò entrata,"for which I have no profit, ","per cui non ho profitto,"
Ched i’ per quell’entrata,since I could enter only one ,dal momento che ho potuto inserire solo uno
Potesse entrar un passo.,step through that door. ,passare attraverso quella porta.
"Richeza guarda il passo,","Guarding the passage is Riches, ","A guardia del passaggio c'è la ricchezza,"
Che non fa buona chara,who does not look kindly ,chi non ha un aspetto gentile
"A que’, che no•ll’à chara.",on those who do not hold her dear. ,su coloro che non la tengono cara.
E sì fu’ i’ sì sagio,And yet I was so wise ,Eppure ero così saggio
Ched i’ ne feci sagio,that I made an attempt ,che ho fatto un tentativo
S’i’ potesse oltre gire.,to see if I could go beyond. ,per vedere se potevo andare oltre.
«Per neente t’agire!»,"“You are wasting your time,”","State sprecando il vostro tempo,"
"Mi disse, e cho•mal viso:",she said to me with a harsh look. ,mi disse con uno sguardo aspro.
"«Tu•ssè da me diviso,","“You aren’t known to me, ","“Non mi conosci,"
Perciò i’ ’l passo ti vieto;,and for this reason I forbid your passage. ,e per questo vi proibisco il passaggio.
"Non perché•ttu sie vieto,","It’s not because you’re old, ","Non è perché sei vecchio,"
Ma•ttu no•m’acontasti,"but because you’ve never made my acquaintance, ","ma poiché non mi hai mai conosciuto,"
"Unque, ma mi contasti;","and, in fact, you resist me, ","e infatti mi resisti,"
"E io ciaschu•schifo,",and I am hostile to anyone ,e sono ostile a chiunque
Chi di me si fa schifo.,who avoids me. ,chi mi evita.
"Va’ tua via, e sì prochaccia,","Go on your way, and do the best you can, ","Vai per la tua strada, e fai il meglio che puoi,"
"Ch’i’ so ben, chi pro’ chaccia,",for this I know well: the able hunter ,per questo lo so bene: l'abile cacciatore
Convien che bestia prenda.,will certainly catch his prey. ,catturerà sicuramente la sua preda.
Se fai che Veno inprenda,If you do it so that Venus declares,Se lo fai in modo che Venere dichiari
"La guerr’a Gielosia,","war on Jealousy, ","guerra alla gelosia,"
"Come che ’n gielo sia,","the latter, even though she’s cold, ","la seconda, anche se ha freddo,"
"Convien ch’ella si renda,","will have to surrender, ","dovrà arrendersi,"
E ched ella ti renda,and your lady will reward you,e la tua signora ti ricompenserà
"Del servir guiderdone,",for your service ,per il tuo servizio
Sanza che guiderdone.,without any cost to you. ,senza alcun costo per te.
Ma tutor ti ricorde:,But keep this in mind: ,Ma tieni presente questo:
"Se ma’ meco t’acorde,",if one day you wish to deal with me ,se un giorno vorrai trattare con me
Oro e argiento aporta.,be sure to bring gold and silver; ,assicurati di portare oro e argento;
I’ t’aprirò la porta,I will open the door for you ,Ti aprirò la porta
Sanza che•ttu facci’oste.,without your waging war. ,senza la tua guerra.
E sì avrai ad oste,And so you will be welcomed ,E così sarai il benvenuto
"Folle-Largheza mala,",by the evil Folle Larghezza,dal malvagio Folle Larghezza
"Che scioglierà la mala,",who will loosen the purse strings ,che scioglierà i cordoni della borsa
E farà gran dispensa,and will lay in great supplies ,e farà grandi provviste
"In sale, ed in dispensa,",of salt and pantry items ,di sale e articoli da dispensa
"E ’n guardarobe, e ’n ciella.",and clothes and wines. ,e vestiti e vini.
Povertà è su’ anciella:,Poverty is her servant: ,La povertà è la sua serva:
"Quella convien t’apanni,",She’ll rob you ,Ti deruberà
"E che•tti tragha ’ panni,","and take your clothes, ","e prendi i tuoi vestiti,"
"E le tue buone calze,",including your nice trousers ,compresi i tuoi bei pantaloni
"Che giamai no•lle calze,","that you’ll never wear again, ","che non indosserai mai più,"
"E la camiscia, e brache,","and your shirt and undergarments, ","e la tua camicia e la tua biancheria,"
Se•ttu co•lle’ t’inbrache.,if you get involved with her. ,se sei coinvolto con lei.
Figlia fu a Chuor-Fallito:,She was the daughter of Cuor Fallito:,Era la figlia di Cuor Fallito:
"Perdio, guarda ’n fall’ito","for God’s sake, be sure that ","per l'amor di Dio, statene certi"
"Non sia ciò, ch’i’ t’ò detto,",what I’ve told you doesn’t go unheeded. ,quello che ti ho detto non resta inascoltato.
"E sie con meco adetto,","Be loyal to me, ","Sii fedele a me,"
E mostra ben voglienza,and show your good will ,e mostra la tua buona volontà
"D’aver mia benvoglienza,",to have my favor; ,avere il mio favore;
Ché Povertat’è insoma,"for Poverty is, in fact, ","perché la povertà è, infatti,"
D’ognie dolor la somma.,the epitome of every sorrow.,l'epitome di ogni dolore.
Ancor non t’ò nomato,I have not yet told you ,Non te l'ho ancora detto
Un su’ figluol nomato:,about one of her notorious sons: ,su uno dei suoi famosi figli:
Inbolar huon l’apella;,they call him Imbolare;,lo chiamano Imbolare;
"Chi da•llu’ non s’apella,","anyone who makes no defense against him, ","chi non si difende contro di lui,"
Egli ’l mena a le forche,"that one he leads to the gallows, ","quello conduce al patibolo,"
Là dove nonn-à for che,there where his only choice ,là dove la sua unica scelta
"E’ monti per la schala,",is to climb the stairs; ,è salire le scale;
"Dov’ogne ben gli scala,","there all good things come to an end, ","lì tutte le cose belle finiscono,"
E danza a•ssuon di vento,and he dances to the sound of the wind ,e balla al suono del vento
Sanz’ave•mai avento.,without ever having rest. ,senza mai riposare.
Or sì•tt’ò letto il salmo:,"Now that I’ve read you the psalm, ","Ora che ti ho letto il salmo,"
"Ben credo a mente sa’ ’l mo’,","I believe you know it now by heart, ","Credo che tu lo sappia ormai a memoria,"
Sì ’l t’ò mostrato ad agio.,so clearly I’ve explained it to you. ,così chiaramente te l'ho spiegato.
"Se mai vien’ per mi’ agio,","If you ever wish to be a comfort to me, ","Se mai vorrai essere un conforto per me,"
Pensa d’esser maestro,think of becoming a teacher ,pensare di diventare un insegnante
"Di ciò, ch’i’ t’amaestro:",of that subject I’m teaching you here: ,di quell'argomento che ti sto insegnando qui:
