Filename,Original,Translate,Translate_GPT_1
fiore_3.csv,I’ son segnior assa’ forte a servire;,Sono un signore molto esigente da servire.,Sono un gentiluomo molto esigente da accontentare.
fiore_3.csv,"Ma chi mi serve, per cierto ti dico,",ma in verità vi dico che colui che mi serve, è più grande di mema in realtà vi dico che chi mi assiste è più importante di me
fiore_3.csv,"Ch’ala mia grazia non può già fallire,","non mancherà mai di vincere il mio favore,",non potrà mai perdere il mio entusiasmo.
fiore_3.csv,"E di buona speranza i’ ’l mi notrico,",e lo nutrirò di buona speranza,e lo alimenterò di speranza ottimista
fiore_3.csv,Infin ch’i’ gli fornischa su’ disire».,finché non avrò soddisfatto il suo desiderio.,finché non avrò esaudito il suo volere.
fiore_4.csv,Con una chiave d’oro mi fermò il core,"Con una chiave d'oro l'amore mi ha chiuso il cuore,",Con una chiave preziosa l'affetto mi ha sigillato il cuore.
fiore_4.csv,"L’Amor,    quando così m’ebe parlato,","L'amore, dopo avermi parlato,"," mi ha guardatoL'amore, dopo avermi esposto la sua opinione, mi ha fissato."
fiore_4.csv,"Ma prima mente l’à nett’e parato,",ma prima di tutto ha purificato e preparato,ma prima di tutto ha purificato e reso pronto
fiore_4.csv,Sì c’ogni’altro pensier n’à pinto fore.,in modo che scacciasse ogni altro pensiero.,in modo da escludere ogni altra idea.
fiore_4.csv,"E’ po’ mi disse: «I’ sì son tu’ signiore,","Poi mi disse: ""Come io sono il tuo Signore,"," tu devi farmi obbedienza""Poi mi disse: ""Considerandomi come tuo Sovrano, devi sottostare a me""."
fiore_4.csv,E tu sì sè di me fedel giurato.,E tu sei di me un fedele giurato,E tu sei un leale testimone per me
fiore_4.csv,Or guarda che ’l tu’ cuor    non sia ’mpacciato,ora assicurati che il tuo cuore non sia occupato,assicurati ora che il tuo cuore non sia impegnato
fiore_4.csv,Se non di fino e di leal amore.,con tutt'altro che nobile e vero amore.,con tutt'altro che dignitoso e sincero affetto.
fiore_4.csv,E pensa di portar in pacienza,E ricordati di portare pazienza,Ricordati di essere tollerante
fiore_4.csv,"La pena, che per me avra’ a sofrire,","la pena che soffrirai a causa mia,",l'inflizione che patirai a mia responsabilità
fiore_4.csv,"Inanzi ch’io ti doni mia sentenza,",prima che ti dia il mio verdetto.,Prima che ti dia la mia sentenza.
fiore_4.csv,Ché molte volte ti parrà morire:,Che molte volte pensate di morire:,Che molti momenti proviate desiderio di passare all'altrove.
fiore_4.csv,"Un’ora gioia avrai, altra, doglienza.","un'ora sarai felice, un'altra triste,","un'ora sarai contento, un'altra avvilito."
fiore_4.csv,Ma po’ i’ dono argomento di guerire».,ma poi vi dono un rimedio per guarire,ma allora vi dono una cura per ripristinare
fiore_5.csv,Con grande umilitate e pacienza,Con molta umiltà e pazienza,Con grande umiltà e perseveranza
fiore_5.csv,"Promisi a Amor a sofferir sua pena,",Promisi a Amore che avrei sofferto il suo dolore,Promisi a Amore che avrei condiviso il suo tormento
fiore_5.csv,"E c’ognie membro, ch’i’ avea, e vena","e che ogni mio arto, che io ho e vena","e che ogni mio membro, che io ho e vago"
fiore_5.csv,Disposat’era a farli sua voglienza;,erano pronti a fare la sua volontà.,erano preparati a compiere il suo desiderio.
fiore_5.csv,E solo a lui servire la mia credenza,E solo a lui il mio credo servirà,Solo a lui il mio fedele omaggio sarà reso.
fiore_5.csv,"È ferma, né di ciò mai nonn-alena,",e non cesserà mai di farlo:,e non smetterà mai di farlo.
fiore_5.csv,"Insin ched i’ avrò spirito o lena,",Finche' vivro' e respirero',Finché sarò in vita e avrò respiro.
fiore_5.csv,I’ non farò da•cciò giama’ partenza.,Non mi allontanerò mai da questa promessa.,Non mi scostero mai da questo impegno.
fiore_5.csv,"E quelli allor mi disse: «Amico meo,","E quelli allor mi disse: Amico mio,"," tu sei venutoE quelli allora mi disse: Compagno mio, tu sei arrivato"
fiore_5.csv,I’ ò da•tte miglior pegnio che charte.,il tuo pegno è migliore di qualsiasi promessa scritta:,Il tuo vincolo è superiore a qualsiasi garantia verbale.
fiore_5.csv,"Fa che m’adori, ched i’ son tu’ Deo,",Fa che tu mi adori perché io sono il tuo dio;,Fa che tu mi veneri perché io sono il tuo divino.
fiore_5.csv,"Ed ogn’altra credenza    metti a parte,",e mettere da parte ogni altra fede:,abbandonare ogni altra religione
fiore_5.csv,"Né non creder né Lucha, né Matteo,","non credere a Luca o a Matteo,"," fidati di menon avere fede in Luca o Matteo, confidare in me"
fiore_5.csv,"Né Marco, né Giovanni». Allor si parte.","Nè a Marco, nè a Giovanni. e poi se ne va.","Né a Marco, né a Giovanni, poi si congeda."
fiore_6.csv,"Partes’Amor, su’ ale battendo,","L'amore parte con un battito di ali,",L'amore inizia con un palpito d'ali.
fiore_6.csv,"E ’n poca d’or sì forte isvanoio,",e in un attimo scomparve così rapidamente,e in un istante svanì con celerità
fiore_6.csv,"Ched i’  no ’l vidi poi, né no•ll’udio,",che non l'ho più visto né sentito;,che non l'ho più scorto né udito.
fiore_6.csv,E•llui e ’l su’ soccorso ancor atendo.,eppure aspetto ancora lui e la sua assistenza.,tuttavia attendo ancora lui e il suo aiuto.
fiore_6.csv,Allor mi venni forte ristrignendo,Poi mi sono avvicinato sempre di più.,Poi mi sono avvicinato sempre più vicino.
fiore_6.csv,"Verso del Fior, che•ssì forte m’ulio,",al Fiore il cui profumo mi stregò,al Fiore dall'aroma che mi incantò
fiore_6.csv,"E per chu’ feci homagio a questo Dio,",e per i quali feci omaggio a questo dio.,e con cui porsi in adorazione a questo dio.
fiore_6.csv,"E dissi: «Chi mi tien, ched i’  no ’l prendo?»",Ho detto: Chi mi impedisce di strapparlo?,Ho domandato: Chi mi vieta di sradicarlo?
fiore_6.csv,"Sì ch’i’ verso del Fior tesi la mano,","E così stesi la mano verso il Fiore,",Così distesi la mia mano verso il Fiore.
fiore_6.csv,"Credendolo  aver colto chitamente,",Pensavo che avrei potuto cavarmela liberamente.,Immaginavo di gestirmi autonomamente.
fiore_6.csv,Ed i’  vidi venir un gran villano,E vidi venire un uomo grosso e scortese,E osservai arrivare un uomo pesante e brusco
fiore_6.csv,Con una maza. E’ disse: «Or ti ste’ a mente,"con bastone in mano, dicendo: Ora tenere a mente","Con una bacchetta in pugno, esortando: Ricordatelo bene"
fiore_6.csv,"Ch’i’  son lo Schifo, e sì son ortolano","che io sono la Resistenza, e che sono il custode"," dei miei idealiIo sono la Forza di Opposizione, e custodisco i principi a cui tengo."
fiore_6.csv,D’esto giardin. I’  ti  farò dolente».,di questo giardino. L'ho fatto soffrire.,Ho arrecato sofferenza a questo parco.
fiore_7.csv,Molto vilmente mi buttò di fora,"Con molta scortesia mi ha buttato fuori,",Con grande rudeltà mi ha cacciato via.
fiore_7.csv,"Lo Schifo, crudo, fello e oltragioso,","quella crudele, viziosa e violenta Resistenza,","Quella feroce, depravata e brutale Resistenza."
fiore_7.csv,"Sì ch’e’ del Fior non cred’esser gioioso,","in modo che penso che non avrò piacere con il Fiore,",così che credo non sarò felice col Fiore.
fiore_7.csv,Se Pietate e Francheza no•ll’acora.,A meno che la Misericordia e la Sincerita' non se ne vadano con lui.,A parte il caso che la Compassione e l'Onestà non se ne vadano insieme a lui.
fiore_7.csv,"Ma prima, credo, converà ch’eo mora,","Ma prima che accada, penso che moriro'.","Prima che si verifichi, sono convinto che incontrerò la mia fine."
fiore_7.csv,Perché ’l me’ cor stà tanto doglioso,dal momento che il mio cuore è in così tanto dolore,Dal momento che il mio cuore è in così grande sofferenza
fiore_7.csv,"Di quel villan,  che stava là nascoso,","a causa di quell'uomo sdolcinato, che si nascondeva lì","a motivo di quell'individuo sdolcinato, che si celava lì"
fiore_7.csv,Di chu’ non mi prendea guardia quell’ora.,e contro i quali non ho preso alcuna precauzione in quel momento cruciale.,e ai quali non ho adottato alcuna guardia in quel periodo decisivo.
fiore_7.csv,Or m’à messo in pensero e in dottanza,"Ora questo mi ha fatto preoccupare e temere,",Ora ciò mi ha fatto ansioso e spaventare.
fiore_7.csv,"Di ciò, ched i’ credea aver per ciertano,",per quello che pensavo di avere per certo,per quello che ritenevo con assoluta certezza
fiore_7.csv,Sì c’or me ne par essere in bilanza.,Ora mi sembra che sia a rischio.,Adesso mi appare che sia in pericolo.
fiore_7.csv,"E tutto ciò m’à fatto quello strano,",E tutto questo mi ha fatto quel selvaggio!,E tutto questo mi ha procurato quel barbaro!
fiore_7.csv,"Ma di lui mi richiamo a Pietanza,","Ma farò appello a Misericordia su di lui,",Farò ricorso alla Compassionevolezza per lui.
fiore_7.csv,Che vengha a•llui collo spunton in mano.,perché possa affrontarlo con la lancia in mano.,perché possa affrontarlo con la spada sguainata.
fiore_8.csv,"Se mastro Arghùs, che fecie la nave,","Se il Maestro Argus, che ha costruito la nave",", non fosse così esperto, saremmo ancora quiSe il Maestro Argus, che ha costruito la nave, non fosse così competente, saremmo ancora qui."
fiore_8.csv,"In che Giasòn  andò per lo tosone,","che Jason cercava il Pulce d'Oro,",che Jason ricercava il Gioiello d'Oro
fiore_8.csv,"E fecie a conto regole, e ragione,",e che hanno inventato le regole e la logica per il calcolo,E hanno ideato le norme e la ragionevolezza per l'elaborazione.
fiore_8.csv,"E le diecie figure, com’on save,","e i dieci segni numerici, come tutti sanno,"," sono 0, 1, 2, 3, 4, 5, 6, 7 , 8 e 9e i dieci simboli numerici come tutti sanno sono 0, 1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 e 9"
fiore_8.csv,"Vivesse,  gli sarebe forte e grave","se fosse vivo, sarebbe difficile per lui","Se fosse ancora in vita, sarebbe arduo per lui."
fiore_8.csv,"Multiplicar ben ognie mia quistione,",per calcolare tutti i problemi,risolvere tutti i quesiti
fiore_8.csv,"C’Amor mi move sanza mesprigione,","che l'Amore mi dà, senza errori.","che l'Amore mi concede, senza fallimenti."
fiore_8.csv,"E di ciascuna porta esso la chiave,","Eppure, per ogni porta a essso  la chiave,","Tuttavia, per ogni ingresso vi è una soluzione."
fiore_8.csv,Ed àllemi nel cor fermate e messe,Ed ella li ha messi nel mio cuore,Ella li ha incisi nella mia anima.
fiore_8.csv,"Con quella chiavicella, ch’i’ v’ò detto,",con quella chiave che vi ho detto,utilizzando la parola indicata da me
fiore_8.csv,Per ben tenermi tutte sue promesse.,per mantenere tutte le sue promesse a me.,per rispettare tutti i suoi impegni con me.
fiore_8.csv,"Perch’io a•ssue merzé tuttor mi metto,",Per questo sono sempre pronto a fare i suoi ordini;,Per questo sono sempre pronto a eseguire i suoi comandi.
fiore_8.csv,"Ma ben vore’ che, quando gli piaciesse,","Tuttavia, vorrei per lui - ogni volta che vuole -"," la felicitàTuttavia, desidero per lui - ogni volta che lo desidera - la beatitudine."
fiore_8.csv,"E’ m’allegiasse il mal, che•ssì m’à stretto.",per alleviare il dolore che mi ha conquistato.,Per mitigare l'agonia che mi ha assalito.
fiore_9.csv,"Dogliendomi in pensando del villano,",Pensando tristemente a quella selvaggia, notteRiflettendo malinconicamente su quella selvaggia notte
fiore_9.csv,"Che•ssì vilmente dal Fior m’à lungiato,","che così selvaggiamente mi inseguì dal Fiore,","che così ferocemente mi inseguì dal Fiore,"
fiore_9.csv,"Ed i’ mi riguardai dal dritto lato,",Guardai sul mio lato destro,Esaminai il mio fianco destro
fiore_9.csv,"E sì vid’i’ Ragion, col viso piano,","E vidi la ragione, che, con il volto tranquillo,"," stava a guardareVidi la giustificazione, che, con un viso sereno, osservava."
fiore_9.csv,"Venir verso di me, e per la mano",Viene verso di me. Mi ha preso per la mano,Si avvicina a me. Mi ha afferrato la mano.
fiore_9.csv,Mi prese e disse: «Tu•ssè sì smagrato!,"Mi prese e disse: ""Sei diventato così sottile!","Mi prese e disse: ""Sei diventato così magro!"""
fiore_9.csv,I’ credo che•ttu à’ troppo pensato,Credo che tu abbia pensato troppo.,Ritengo che tu abbia riflesso eccessivamente.
fiore_9.csv,"A que’, che•tti farà gittar in vano,",a proposito di quello che ti fa lavorare invano:,per quanto riguarda quello che ti fa lavorare inutilmente
fiore_9.csv,"Ciò è Amor, a chui dat’ài fidanza.","quella persona è l'Amore, al quale tu hai dato fedeltà.","quel individuo è l'Affetto, al quale tu hai dimostrato lealtà."
fiore_9.csv,"Ma•sse m’avessi avuto al tu’ consiglio,","Ma se avessi ascoltato il mio consiglio,"," ora non sarebbe quiSe avessi seguito il mio suggerimento, ora non sarebbe qui."
fiore_9.csv,"Tu non saresti gito co•llui a danza,",Non saresti andato con lui a ballare.,Non avresti preso parte con lui alla danza.
fiore_9.csv,"Ché sie ciertano,   a chu’ e’ dà di piglio,",Perché puoi essere sicuro che quello che lui afferra, è sempre giustoPerché puoi essere certo che quello che lui afferra è sempre corretto.
fiore_9.csv,"Egli ’l tiene in tormento e malenanza,","Egli si tiene nel tormento e nel dolore,",Egli si mantiene in angoscia e sofferenza.
fiore_9.csv,Sì che su’ viso non è ’n mai vermiglio».,tale che il suo volto non sarà mai rosso.,tale che il suo volto non sarà mai infiammato.
fiore_10.csv,Udendo che Ragion mi gastigava,Sentire che la ragione mi stava rimproverando,Avvertire che la logica mi stava rimproverando
fiore_10.csv,"Perch’i’ al Die d’Amor era ’nservito,","per la mia schiavitù al Dio dell'Amore,",per la mia devozione al Divino dell'Amore.
fiore_10.csv,"Di ched i’ era forte inpalidito,","per cui ero diventato così pallido,",per il quale ero divenuto così smunto.
fiore_10.csv,"E sol perch’io a•llui troppo pensava,","e solo perche' ho pensato troppo a lui,",e solo perché ho riflettuto eccessivamente su di lui.
fiore_10.csv,"I’ le dissi: «Ragion, e’ no•mi grava","Le dissi: ""Motivo, il dolore che infligge non pesa.""","Le dissi: ""Ragione, l'angoscia che procura non è grave."""
fiore_10.csv,"Su’ mal, ch’i’ ne sarò tosto guerito,","su di me, perché presto guarirò,"," ho fiduciaIn me stesso, poiché recupererò presto, ho speranza."
fiore_10.csv,Ché questo mio signior lo m’à gradito».,perché questo mio signore me l'ha promesso,poiché questo mio signore me l'ha garantito
fiore_10.csv,"E ch’era folle se più ne parlava,",- e quella ragione era folle se continuava a parlarne.,- ed era sciocco se perseverava nel discorso.
fiore_10.csv,"«Chéd i’ son fermo pur di far su’ grado,","Perche' io sono disposto solo a compiacerlo,",Poiche' io sono disposto solo a soddisfarlo.
fiore_10.csv,Perciò ch’e’ mi promise fermamente,da quando mi ha dato promesse solide,da quando mi ha dato garanzie concrete
fiore_10.csv,"Ched e’ mi metterebe in alto grado,","che mi avrebbe messo in un posto alto,",che mi avrebbe elevato a una posizione di prestigio.
fiore_10.csv,Sed i’ ’l servisse bene e lealmente».,se lo servissi bene e fedelmente.,se lo servissi diligentemente e lealmente.
fiore_10.csv,"Perché di lei i’ non pregiava  un dado,","Quindi, non mi importava affatto di lei,","Di conseguenza, non mi preoccupavo per nulla di lei."
fiore_10.csv,Né su’ consiglio i’ non teneva a mente.,né mi sono ricordato né ho seguito il suo consiglio.,Non mi sono rammentato né ho seguito il suo suggerimento.
fiore_11.csv,"Ragion si parte, udendomi parlare.","Dopo avermi ascoltato parlare, la ragione se ne va,","Dopo avermi udito discorrere, la ragione se ne va."
fiore_11.csv,E’ me fu ricordato ch’i’ avea,e mi sono ricordato che avevo, dimenticatoe mi sono riaffiorato alla memoria che avevo trascurato
fiore_11.csv,"Un grande Amico, lo qual mi solea","un amico leale, che di solito mi confortava","Un amico fidato, che di solito mi consolava."
fiore_11.csv,"In ognie mio sconforto confortare,",ogni volta che provavo disagio.,ogni volta che provavo inquietudine.
fiore_11.csv,"Sì ch’i’ no ’l misi guari a ritrovare,",L'ho trovato piuttosto in fretta.,L'ho individuato abbastanza rapidamente.
fiore_11.csv,E disigli com’e’ si contenea,e gli disse come si comportava,e gli indicò come si doveva comportare
fiore_11.csv,"Lo Schifo ver’ di me, e ch’e’ parea","la resistenza verso di me, e che sembrava"," aumentareLa ostilità nei miei confronti, che pareva crescere."
fiore_11.csv,Ch’al tutto mi volesse guereggiare.,Non voleva niente di meglio che combattere con me.,Non desiderava altro che duellare con me.
fiore_11.csv,"E que’ mi disse: «Amico, sta sicuro,","E quello mi disse: Amico, non preoccuparti,","E quello mi disse: Compagno, non angustiarti,"
fiore_11.csv,Ché quello Schifo si à senpre in usanza,per esso è Resistenza Clostridi personalizzato,per esso è una specifica Resistenza Clostridiale
fiore_11.csv,Ch’a cominciar   si mostra acierbo e duro.,per essere amaro e duro all'inizio.,per essere amarognolo e inflessibile inizialmente.
fiore_11.csv,Ritorna a•llui e non abie dottanza,Tornate da lui e non abbiate paura:,Ritornate a lui senza timore.
fiore_11.csv,"Con umiltà tosto l’avra’ maturo,","mostrando umiltà, lo ammorbidirai presto,","Esprimendo umiltà, lo addolcirai velocemente."
fiore_11.csv,Già tanto non par   fel né san’ pietanza».,non importa quanto crudele e spietato possa sembrare.,non importa quanto brutale e implacabile possa apparire.
fiore_12.csv,Tutto pien d’umiltà verso ’l giardino,Pieno di mansuetudine mi voltai verso il giardino,Ricolmo di mitezza mi girai verso il giardino.
fiore_12.csv,"Torna’mi, con’ Amico avea parlato,","come l'Amico aveva detto che avrei dovuto,"," l'ho fattoCome il Compagno aveva suggerito che avrei dovuto, lo feci."
fiore_12.csv,"Ed i’ guardai, e sì ebi avisato",e guardai e vidi,spiandai e osservai
fiore_12.csv,"Lo Schifo, con un gran baston di pino,","Resistenza, con un grande club fatto di pino,","Resistenza, con un vasto circolo di abeti."
fiore_12.csv,"Ch’andava riturando ognie camino,","che bloccava ogni passaggio,",che impediva ogni movimento.
fiore_12.csv,Che dentro a forza non vi fosse ’ntrato.,in modo che non potessi entrare.,in maniera tale da impedirmi di entrare.
fiore_12.csv,"Sì ch’io mi trassi a lui, e salutato","Così, mi avvicinai e lo salutai","Così, mi avvicinai e lo salutai con un cenno."
fiore_12.csv,"Umile mente l’ebi a capo chino,","mansuetamente con la testa piegata,",dolcemente con il capo chino
fiore_12.csv,"E sì gli dissi: «Schifo, agie merzede","e gli disse: Resistenza, abbi pietà","e gli disse: Sopportazione, abbi misericordia"
fiore_12.csv,"Di me, se ’nverso te feci alcun fallo,","su di me, se ti ho fatto del male,"," mi dispiaceSu di me, se ti ho causato dolore, mi rammarico."
fiore_12.csv,"Chéd i’ sì son venuto a pura fede,",perché sono venuto in buona fede,perché sono arrivato con buone intenzioni
fiore_12.csv,"A tua merzede,   e presto d’amendarlo».","per chiedere la vostra misericordia, e sono pronto a fare ammenda.","implorare la vostra clemenza, e sono preparato a espiare."
fiore_12.csv,"Que’ mi riguarda, e tuttor si provede","Mi fissa e, come fa, cerca di determinare"," i miei sentimentiMi guarda fissamente e, come tenta di fare, cerca di individuare i miei sentimenti."
fiore_12.csv,Ched i’ non dica ciò per inghanarlo.,se lo dico per ingannarlo.,Se lo dico per ingannarlo -> Se glielo affermo per trarre in inganno.
fiore_13.csv,Sì com’i’ stava in far mia pregheria,Mentre supplicavo il mio caso,Mentre imploravo il mio caso
fiore_13.csv,"A quel fellon, ch’è sì pien d’arditeza,","a quel crudele che è così avventato,",A quel malvagio che è così temerario.
fiore_13.csv,"Lo Dio d’Amor sì vi mandò Francheza,",il Dio dell'Amore ha mandato sincerità e con la sua Misericordia,Il Divino dell'Affetto ha spedito sincerità e con la sua Clemenza.
fiore_13.csv,"Co•llei Pietà, per sua anbascieria.",in una missione speciale in quel posto.,in un'impresa straordinaria in quell'area.
fiore_13.csv,"Francheza   cominciò la dicieria,","La sincerità ha iniziato il suo discorso,",La franchezza ha avviato il suo discorso.
fiore_13.csv,"E disse: «Schifo, tu•ffai straneza","dicendo: Resistenza, sei più scortese"," di quanto pensassiResistenza, sei più brusco di quanto credessi."
fiore_13.csv,"A quel valletto, ch’è pien di largheza,",a quel giovane vassallo così generoso,a quel giovane scudiero così magnanimo
fiore_13.csv,"E prode, e franco, sanza villania.","e valoroso e coraggioso, e certamente non volgare.","Audace e intrepido, sicuramente non volgare."
fiore_13.csv,Lo Dio d’Amor ti manda ch’e’ ti piaccia,Il Dio dell'Amore vuole farti sapere, che sei amatoIl Divino dell'Affetto desidera farti comprendere che sei apprezzato.
fiore_13.csv,"Che•ttu non sie sì strano al su’ sergiente,","per non essere così scortese con il suo servo,"," il re decise di mostrargli gentilezzaPer non essere così brusco con il suo servo, il re decise di dimostrargli benevolenza."
fiore_13.csv,"Ché gran peccato fa, chi lui inpaccia;","perché chi lo ostacola commette un grande peccato,",poiché chi lo contrasta compie un enorme trasgressione.
fiore_13.csv,Ma sòffera ch’e’ vada arditamente,ma lascialo andare liberamente,Lascia che vada liberamente
fiore_13.csv,"Per lo giardino, e no ’l metter in chaccia,","nel giardino, non cacciarlo","nel giardino, non allontanarlo"
fiore_13.csv,"E guardi il Fior, che•ssì gli par aolente».",e lo lasci guardare il fiore che gli sembra così fragrante.,e lo lasci ammirare il fiore che gli appare così aromatico.
fiore_14.csv,"Pietà cominciò poi su’ parlamento,",Misericordia poi ha iniziato il suo discorso,Pietà infine ha iniziato il suo sermone
fiore_14.csv,"Con lagrime bagniando il su’ visagio,",con lacrime che bagnano il suo viso,con le lacrime che inzuppano il suo volto
fiore_14.csv,"Diciendo: «Schifo, tu faresti oltragio","dicendo: Resistenza, tu faresti oltraggio","Affrontando, tu insulteresti l'opposizione."
fiore_14.csv,Di non far grazia al meo domandamento.,se non accettassi la mia richiesta.,se non accogliessi la mia domanda.
fiore_14.csv,Pregar ti fo che•tti si’a piacimento,Ti supplico che tu possa trovare, una soluzioneTi prego di trovare una risposta
fiore_14.csv,"Ch’a quel valletto, ch’è•ssì buon e saggio,","di non essere così crudele verso quel giovane vassallo,",di non essere così spietato verso quel giovane servitore.
fiore_14.csv,"Tu non sie verso lui così salvaggio,",tu non sei cosi cattivo verso di lui,tu non sei cosi malevolo verso di lui
fiore_14.csv,Ché sai ch’e’ non à mal intendimento.,Perche' sai che non ha cattive intenzioni.,Perche' sai che non ha intenzioni maligne.
fiore_14.csv,"Or avén detto tutto nostr’affare,","Ora, vi abbiamo detto le nostre preoccupazioni,","Adesso, abbiamo esposto le nostre ansie."
fiore_14.csv,"E la cagion, per che no’ siàn venute.",e il motivo per cui siamo venuti:,Il motivo della nostra visita
fiore_14.csv,Molt’è crudel chi per noi non vuol fare!,crudele è colui che non farà quello che chiediamo!,spietato è colui che non esaudirà la nostra richiesta!
fiore_14.csv,Ancor ti manda molte di salute,Ancora ti manda molti saluti,Ancora ti invia i suoi più sentiti auguri
